问题,选项1,选项2,选项3,选项4,答案
以下哪句话中“丫头”的意思(或用法)与其他句子不同。,尤其丫头们跟着主子，吃香的喝辣的不说，日常待遇也不比一般人家的小姐差,小丫头片子整天不务正业不好好学习，居然跑出去赚钱,感谢这河水滋润了我们生长的土地，保佑我的丫头快快健康长大。,你们从懵懂少年和黄毛丫头长成英俊潇洒和亭亭玉立的俊男靓女,A
以下哪句话中“印花”的意思(或用法)与其他句子不同。,我喜欢在被子上印花,由政府有关部门发售，规定贴在契约、凭证等上面，作为税款的一种特制印刷品。全称印花税票。,工人会在产品包装上印花,印花也是个技术活,B
以下哪句话中“空门”的意思(或用法)与其他句子不同。,我这些徒弟都是危难之时遁迹空门，自然不那么诚心。,他刚错过了一个空门得分的机会。,手心和背上的万字符号，悲惨的人生经历，注定了他要遁入空门。,他的才华如此灿烂，可是他把光华全部收敛起来，避世绝俗，遁入空门。,B
以下哪句话中“小节”的意思(或用法)与其他句子不同。,她是个不拘小节的人。,小节不慎，大节难保。,这首歌有好几个小节。,我们是来带领乡亲们走出贫困，你要盱衡大局，别跟小节过不去。,C
以下哪句话中“清明”的意思(或用法)与其他句子不同。,每到清明，我们都要去瞻仰烈士墓。,清明前后，桃花、杏花、李花都陆续开放了。,今晚月色清明，正是游玩的好时刻。,清明过后，一连下了三天雨。,C
以下哪句话中“裁判”的意思(或用法)与其他句子不同。,足球场上，个别运动员动作粗野，受到裁判的警告。,他的父亲是本届亚运会的排球裁判。,在赛场上，足球运动员应服从裁判的判决。,法官要站在公正的立场来裁判案件。,D
以下哪句话中“光景”的意思(或用法)与其他句子不同。,二十年的光景，他已变成了白发苍苍的老者。,今天太闷热，光景要下雨。,这几年，家里的光景一年比一年好起来了。,几年的光景，那个大姐姐已出落成一位亭亭玉立的大姑娘了。,B
以下哪句话中“沉着”的意思(或用法)与其他句子不同。,姐姐生怕留下疤痕和色素沉着。,面对来势汹汹的大军，他沉着应对。,老师对他的评价是，沉着冷静。,摩尔的性情相当沉着、平静。,A
以下哪句话中“作为”的意思(或用法)与其他句子不同。,必须好好学习有所作为,我把游泳作为锻炼身体的方法。,你必须有所作为,生活中要做一个有作为的人,B
以下哪句话中“女工”的意思(或用法)与其他句子不同。,她性格大大咧咧的，不会做女工。,工厂既雇用男工，也雇用女工。,纺织女工向秀丽为抢救国家财产而光荣牺牲。,女工产假期间工资照发。,A
以下哪句话中“待遇”的意思(或用法)与其他句子不同。,县级参公管理和乡镇公务员在待遇上是有区别的。,待遇越高，执行结果越坏。,很多人认为前任部长们一年仅参加几次理事会就轻而易举地捞取了25，000英镑的待遇。,他受到不公平待遇却仍能安之若素。,D
以下哪句话中“流产”的意思(或用法)与其他句子不同。,妇女可以选择药物流产或手术流产。,流产后一般需要休息半个月或一个月民间称这段时间为“小月子”。,目的探讨习惯性流产有效的治疗方法。,我精心准备的活动流产了。,D
以下哪句话中“用心”的意思(或用法)与其他句子不同。,他学习十分用心,他对我别有用心,他上课用心听讲,你学习能不能用心？,B
以下哪句话中“背书”的意思(或用法)与其他句子不同。,父亲经常和我比赛背书，虽说他丢掉书本已有二十多年，但比赛起来我总是输，他的很多知识好像都在脑海印着似的。,经过背书的票据，付款人不能付款时，背书人负付款责任。,背书也跟状态有关的，如果你太急躁了，不妨停一下，放轻松点，太逼自己会背不进去。,他夜以继日的在背书,B
以下哪句话中“进口”的意思(或用法)与其他句子不同。,医院的进口在那里。,各国都在那里想法子加增货物的出口和金银的进口。,这可是进口货啊！,为了降低这些企业投资和进口技术设备的成本，政府不得不对要素价格做出各种扭曲。,A
以下哪句话中“拍子”的意思(或用法)与其他句子不同。,他对工具摆放的位置，都有明确要求，看到有不合格的工具，譬如扎得不好的蘸水笔，削得粗糙的竹拍子，拿起来就往窗外扔去。,和同伴格格不入的人，或许只是因为他听到的拍子不一样。,拍膝盖，打拍子这一类的幽默都通过很多形式表现出来。,板是以前演奏音乐时，用来打拍子的工具，也可指音乐的节奏。,A
以下哪句话中“花费”的意思(或用法)与其他句子不同。,注意饮食习惯，省下看医生的花费。,劳而无功意思是花费了力气，却没有收到成效。,伟大的成就，来自为远大的目标所花费的巨大心思和付诸的最大努力。,顶尖运动员花费许多时间练习，使自己更加卓越。,A
以下哪句话中“麻雀”的意思(或用法)与其他句子不同。,麻雀从来没有南飞，可它在人们眼里却很卑微,他打一根麻雀，我就胡了,一只麻雀，亮晶晶的圆眼睛，滴溜溜地望着天空。,麻雀站在树枝上，秋天的童话只剩下这一个干干净净的画面。,B
以下哪句话中“战机”的意思(或用法)与其他句子不同。,一名战地指挥员，最可怕的是反应迟钝，抓不住战机。,拉脱维亚、立陶宛和爱沙尼亚在2004年与北约达成协议达成了租赁战机对他们的领空巡逻。,他自己动手做了一个战机,那架战机时而俯冲低飞，时而冲天直上。,A
以下哪句话中“火星”的意思(或用法)与其他句子不同。,生命一旦消失，地球就会回到类似金星、火星等无生命行星一样的表面状态。,火星和金星在演化早期也具有前生命化学进化的必要条件。,上述发现还不能算是火星生命的直接证据。,他在打铁时，火星四溅。,D
以下哪句话中“眼线”的意思(或用法)与其他句子不同。,他总觉得我是老板派来的“眼线”，是来监视他的。,为了防止画时因手抖动影响眼线的清晰，可用小手指支撑着脸部。,借助眼线的描画，能使眼睛变得传神。,而纹眼线则能增加面部层次，使人陡生风采。,A
以下哪句话中“龙头”的意思(或用法)与其他句子不同。,用完了水，要随手关上水龙头。,使用节水的龙头、莲蓬头和厕所水箱。,中央宝座的靠背雕四个龙头，伸向两端。,龙头没有关紧，白白地浪费了许多水。,C
以下哪句话中“一线”的意思(或用法)与其他句子不同。,县长亲自在一线指挥抗洪抢险。,我们前往车间慰问一线工人,树林里透过一线阳光,他前往了抗疫一线,C
以下哪句话中“苹果”的意思(或用法)与其他句子不同。,她的脸红的就像苹果一样。,桌上的苹果被人咬了一口。,今天苹果的售价是三斤十元。,苹果的铃声很有辨识度。,D
以下哪句话中“古董”的意思(或用法)与其他句子不同。,死不开窍的老古董。,优质的古董是一项极好的投资，这间艺廊的黎巴嫩裔主人阿里？雅博达姆说。比起一幅毕卡索来，买古董的价钱可以说是九牛一毛。,许多古董像是蚌壳里的珍珠般被放在橱窗里,爱吃有品味懂得生活的蔡辰洋，将美食古董与音乐合而为一，寒舍食谱卖的是鱼翅鲍鱼，摆的是真迹真品，听的是中国古乐，顾客彷佛坐在故宫里吃御膳。,A
以下哪句话中“成年”的意思(或用法)与其他句子不同。,作为一个成年人，你们要负起责任。,我们该给孩子举办一个成年礼。,父亲成年在外奔波。,孩子已经成年了。,C
以下哪句话中“早晚”的意思(或用法)与其他句子不同。,立秋过后，早晚有了些凉意。,跟这帮狐朋狗友来往，你早晚会进监狱。,你不应该这么助桀为虐，早晚会遭天谴。,那些不遵守法律的人早晚会自作自受，得到制裁。,A
以下哪句话中“转机”的意思(或用法)与其他句子不同。,尽管事情发展一度不利，但他们没有放弃努力，最终通过转机成功地解决了问题，避免了更大的损失。,他选择了一条经过迪拜的航线，中途转机到达目的地。,尽管他的病情一度危急，但经过紧急手术后，他的状况开始转机，医生们对他的康复充满信心。,在经济危机中，企业采取了一系列措施，希望能够通过转机来挽回局势，恢复盈利。,B
以下哪句话中“座机”的意思(或用法)与其他句子不同。,诺沃特尼报告说自己座机左发动机受损，他只能依靠右侧一台发动机飞行。,现在已经很少人使用座机了,家里有一个座机,转眼之间使用座机好像是很久以前的事情了,A
以下哪句话中“义务”的意思(或用法)与其他句子不同。,放假时她常去参加义务劳动。,子女必须承担起赡养父母的义务。,他义务下乡给乡亲们理发，寒暑易节，刮风下雨，从不间断。,星期天，爸爸、妈妈带着我去参加义务劳动。,B
以下哪句话中“投机”的意思(或用法)与其他句子不同。,弟兄俩话不投机，只好各走各的路。,两个年轻人一见如故，谈得非常投机。,今天我们俩谈得非常投机，彼此情投意合，对许多问题看法都是一致的。,那家伙跟投机倒把分子勾勾搭搭。,D
以下哪句话中“烟火”的意思(或用法)与其他句子不同。,五颜六色的烟火把天空点缀得很美丽。,那烟囱冒起热腾腾的烟火。,寻常烟火最是抚慰人心。,人光靠吸风饮露是活不下去的，还是要吃点人间烟火食吧。,A
以下哪句话中“人流”的意思(或用法)与其他句子不同。,女孩子应该保护好自己不要去做人流,做人流的人不代表不是一个好人,人流对身体有害，我们尽量避免去做,今天车路上的人流量很多啊,D
以下哪句话中“西方”的意思(或用法)与其他句子不同。,夕阳落山不久，西方的天空还燃烧着一片橘红色的晚霞。,现实或不现实都被冲散，渐渐变淡，成为西方天空中的一缕残云。,西方红灼灼的霞光闪烁着，海水染成紫红。,敬颂往生咒，可以往生西方极乐世界。,D
以下哪句话中“偏食”的意思(或用法)与其他句子不同。,培养幼儿不偏食、不挑食的饮食卫生习惯。,小学生不要偏食，否则就可能营养不良。,古代的人们相信月偏食是一种坏的预兆。,我不偏食，甜的、酸的、咸的、辣的全喜欢。,C
以下哪句话中“低落”的意思(或用法)与其他句子不同。,低落的情绪要避免,不知道为什么最佳心情很低落,看到我的朋友心情低落我心情也不好,在紧急噪聒的水车声中，塘水一寸一寸地低落了。,D
以下哪句话中“拉扯”的意思(或用法)与其他句子不同。,爹妈好不容易才把我们兄弟姐妹拉扯大。,这两人在大庭广众之下拉扯，真是伤风败俗。,为了这两位新人的彩礼，两家人不断拉扯，最终才敲定。,对质演变成了拉扯头发。,A
以下哪句话中“虎口”的意思(或用法)与其他句子不同。,屏幕上反复播映的法国惊险喜剧片《虎口脱险》。,这项任务犹如虎口拔牙，你千万要小心。,一位民工在用力使用铁锄时碰上了硬物，震得虎口发麻。,杨六郎用了金蝉脱壳之计，才逃出虎口。,C
以下哪句话中“动手”的意思(或用法)与其他句子不同。,把泥再弄湿点再动手塑造。,他开始动手起草了辞呈。,乡里有些人就爱动手，胆小的又不敢还手。,玛格达马上动手收拾。,C
以下哪句话中“俘虏”的意思(或用法)与其他句子不同。,他不愿做俘虏，开枪自杀。,他们残杀了所有的俘虏。,他押着他的俘虏到帐房间去。,战争中俘虏了很多人去做劳动,D
以下哪句话中“上下”的意思(或用法)与其他句子不同。,文革期间全国上下天翻地覆。,时局长的话搞得全厂上下人心惶惶。,今年一亩地能有一千斤上下的收成。,春节时全国上下喜气洋洋。,C
以下哪句话中“自负”的意思(或用法)与其他句子不同。,生活中存在很多自负的人。,自负者看比尔总觉得自己比别人强。,成功有时会助长人骄傲自负的情绪。,一切开支均个人自负。,D
以下哪句话中“下手”的意思(或用法)与其他句子不同。,他们已经先下手了,这道数学题让我无从下手,我还没到，就已经下手了,班长给老师打下手,D
以下哪句话中“墨水”的意思(或用法)与其他句子不同。,钢笔是使用墨水的书写工具。,他把钢笔往墨水里蘸了蘸。,我肚里墨水不多，写起来有困难，希望你能助我一臂之力。,你的衬衫上有一个墨水斑。,C
以下哪句话中“杜鹃”的意思(或用法)与其他句子不同。,杜鹃是一种益鸟。,杜鹃也被人们称为布谷鸟。,天台山植物种类繁多，天台蜜桔久负盛名，六锦杜鹃遍布高山，盛产雾茶及多种中药材。,杜鹃有“春的使者”的美称。,C
以下哪句话中“自然”的意思(或用法)与其他句子不同。,你不用问太多，时间久了，自然会明白。,不用那样催他，他明白的时候自然会走！,在自然界，只有人类能够制造和使用劳动工具。,我的回答自然是对的啦！！！,C
以下哪句话中“大头”的意思(或用法)与其他句子不同。,看着看着，大头儿子非常着急，弟弟也跟着着急起来。,你只是一个平平常常，普普通通的大头老爸。,现在他们说，‘嘿，我现在掌舵了，生意都在我手下，所以你给我钱，我自己去投资拿大头’。,大头大头，下雨不愁，你有雨伞，我有大头。,C
以下哪句话中“机关”的意思(或用法)与其他句子不同。,机关工作人员要注意保守国家机密。,我军的机关枪正掩护着董存瑞冲到桥下面去。,他向政府机关告发了他。,政府机关把一个越境分子驱逐出境。,B
以下哪句话中“布局”的意思(或用法)与其他句子不同。,这个公园里的假山，布局新奇巧妙，真是巧夺天工呀！,宫?布局不依经，黑白相和子数停。,写文章有一条重要的原则，就是布局谨严，中心突出，不蔓不枝。,这篇作文文笔虽然不够优美，但布局安排还差强人意。,B
以下哪句话中“不爽”的意思(或用法)与其他句子不同。,她现在十分不爽。,对此他感到十分不爽。,他这一招屡试不爽。,他不爽地看着忏悔中的道士。,C
以下哪句话中“开山”的意思(或用法)与其他句子不同。,人类还通过给沼泽地排水、凿石开山、修建公路和铁路等方式，改变了地球的面貌。,据说，毛血旺的名称来源于其开山者姓毛，听说后来因为经营不善倒闭了。,李?是清初知名教育家、思想家，颜李学派开山者之一。,塔尔寺是我国著名的喇嘛寺院，是喇嘛教黄教开山者宗喀巴诞生地，亦是西北地区佛教活动的中心。,A
以下哪句话中“台风”的意思(或用法)与其他句子不同。,台风的破坏力极强,夏季是台风高发季节,台风的本质是热带风暴,梅兰芳的台风潇洒,D
以下哪句话中“作”的意思(或用法)与其他句子不同。,他在会上向大家作了思想检讨。,杜甫的不少诗篇是属于愤世嫉俗之作。,反动势力正在作垂死挣扎。,党员和群众自觉抵制不良倾向，坚决同各种违法犯罪行为作斗争。,B
以下哪句话中“入口”的意思(或用法)与其他句子不同。,这个车站有五个入口。,我们从入口进去了。,结婚典礼礼堂的入口，摆了一幅新人的结婚照。,糯软香甜、入口即化的富平吊饼是享誉全国的陕西特产,D
以下哪句话中“根本”的意思(或用法)与其他句子不同。,别在那儿痴人说梦了，你根本办不到！,他俩的个性南辕北辙，根本谈不拢。,确切地说，小红根本没有生病。,以人才为本是我国持续发展的根本保证,D
以下哪句话中“金星”的意思(或用法)与其他句子不同。,跑完1000米，我眼睛直冒金星。,生命一旦消失，地球就会回到类似金星、火星等无生命行星一样的表面状态。,金星是太阳系九大行星之一。,既然火星和金星在演化早期可能产生过生命，为什么这些生命没有能形成生物圈？,A
以下哪句话中“保险”的意思(或用法)与其他句子不同。,现在倒有一个保险的办法。,把这些宝石藏在保险箱里。,这对他难道不是太不保险吗？,他靠卖保险为生,D
以下哪句话中“修好”的意思(或用法)与其他句子不同。,停车场还没修好。,是一个老大爷帮我把这车修好了。,这段路修好以后，这条公路就全部贯通了。,两国修好。,D
以下哪句话中“生气”的意思(或用法)与其他句子不同。,他的服务态度让我十分生气,没完成作业老师十分生气,他的脸色苍白，仿佛没有了生气,小孩子极其容易生气,C
以下哪句话中“小号”的意思(或用法)与其他句子不同。,麻烦来套小号的中山装,他因为犯错导致被关小号,保管箱有大有小：分小号，中号，大号。,他适合穿小号的衣服,B
以下哪句话中“低谷”的意思(或用法)与其他句子不同。,人生难免会遇到低谷。,射手座也很敏感，对于身边人的一点冷落都能查觉到，会莫名其妙的纠结，情绪陷入低谷，都是因为骄傲的自尊不肯先低头。,如果你的生活已处于低谷，那就，大胆走，因为你怎样走都是在向上。,低谷中，早先有过一个美丽的小村庄。,D
以下哪句话中“仪表”的意思(或用法)与其他句子不同。,他相貌不凡，仪表堂堂,对于一个人来说，仪容仪表十分重要,他仪表十分出众,这个仪表十分精密,D
以下哪句话中“号称”的意思(或用法)与其他句子不同。,敌人的这个师号称一万二千人，实际上只有七八千。,在唐代诗坛上，李白和杜甫齐名，号称“李杜”。,洋洋乒乓球打得很好，号称“打遍全校无敌手”。,四川号称天府之国。,A
以下哪句话中“餐点”的意思(或用法)与其他句子不同。,店长决定多开几个餐点增加营业额,步行街附近的餐点被取消了,本县的餐点集中于正在开发的旅游区,他们家的餐点我一直很喜欢,D
以下哪句话中“星火”的意思(或用法)与其他句子不同。,这个形成了星火燎原、蓬勃发展的良好态势。,一批“一大三高”型的企业集团、工业小区、三资企业呈现出方兴末艾、星火燎原之势。,白色革命，在三湘大地星火燎原并推向全国，放射出道道耀眼的光芒。,潮落夜江斜月里，两三星火是瓜洲。,D
以下哪句话中“洪量”的意思(或用法)与其他句子不同。,洪量的人都是练出来的，花在酒上的钱不在少数。,他洪量很好，经常千杯不醉。,喝酒不要找洪量的人做对手。,他对任何人都洪量，人们都愿意很他交流。,D
以下哪句话中“鬼祟”的意思(或用法)与其他句子不同。,我看见一个人鬼鬼祟祟地进了院子。,妖魔鬼怪随身就带着鬼祟的气息。,他鬼鬼祟祟的样子让我怀疑他做了什么坏事。,扒手鬼鬼祟祟地，在公共场所偷窃财物。,B
以下哪句话中“夫”的意思(或用法)与其他句子不同。,我的妹夫是一名老师。,一夫当关，万夫莫开。,我的姐夫是一名医生。,她的丈夫很成熟。,B
以下哪句话中“再三”的意思(或用法)与其他句子不同。,郊游时，老师再三声明让我们不要走散。,霸王者，即当时诸侯，诸侯而称本纪，求名责实，再三乖?。,我再三强调，这件事情不要去做。,父母总是会再三提醒我们注意安全。,B
以下哪句话中“面盆”的意思(或用法)与其他句子不同。,妈妈用面盆装满温水，准备给宝宝洗澡。,这家餐馆的特色菜是在铁面盆中烹制的，保持了食物的原汁原味。,她用面盆接水，准备洗脸。,小猫跳进了装满水的面盆里，玩得不亦乐乎。,B
以下哪句话中“支持”的意思(或用法)与其他句子不同。,支持他的做法。,支持阳台的柱子。,支持合理化建议。,互相支持。,B
以下哪句话中“有劲”的意思(或用法)与其他句子不同。,今天的球赛有有意思，看起开真有劲。,这个人真有劲，能挑起二百斤重的担子。,这密室逃脱太有劲了。,大家谈的非常有劲。,B
以下哪句话中“时气”的意思(或用法)与其他句子不同。,患了时气的人要注意休息。,时气好。,碰时气。,有时气。,A
以下哪句话中“吃瓜”的意思(或用法)与其他句子不同。,我只是一个不明真相的吃瓜群众,炎炎夏日多吃瓜，补水防暑降血压,吃瓜人开窗扔瓜皮打一成语：吃里扒外。,几番觥筹交错之后，宇文招端着个瓜盘殷勤地请杨坚吃瓜，其间，刺瓜的小刀就在杨坚喉咙间闪躲，但宇文招摆弄了几次，就是没有胆气刺下去。,A
以下哪句话中“融融”的意思(或用法)与其他句子不同。,他们手牵着手，笑意融融，坐在离我三个桌子远的位子上。,春光融融。,大家欢聚一堂，其乐融融。,过年过节乐融融，防火工作莫放松。,B
以下哪句话中“绷弓子”的意思(或用法)与其他句子不同。,绷弓子是一种装在门上用来自动关门的装置,小孩，别用绷弓子打鸟！,小孩最常见的玩具就是绷弓子了,前两天叔叔送了我一把绷弓子,A
以下哪句话中“白白”的意思(或用法)与其他句子不同。,有知其阳阳而阴阴，白白而黑黑也。,他能那么好心，白白送你？,这些都是无代价的，白白给你,这些东西不能白白送给你。,A
以下哪句话中“孤单”的意思(或用法)与其他句子不同。,他孤单一人在异国他乡。,面对强大的对手，他们势力孤单。,无儿无女的老人住进敬老院，一点儿也不感到孤单。,妈妈和爸爸都去上班了，小华在家很孤单。,B
以下哪句话中“上风”的意思(或用法)与其他句子不同。,他在我的耳边象狗叫般一笑，踱到船尾楼甲板的上风方向去了。,烟气从上风刮过来。,这场球赛，上半场甲队占上风。,在上风方向喷洒农药。,C
以下哪句话中“原本”的意思(或用法)与其他句子不同。,请提供这份文件的原本原稿，以便我们进行核实。,她原本是一个害羞的人，但经过一段时间的培训和锻炼，她变得自信而开朗。,这份文件是原本的原稿，没有经过传抄或修改。,我们需要确保这份文件是原本的原稿，以保证信息的准确性。,B
以下哪句话中“迂回”的意思(或用法)与其他句子不同。,迂回曲折。,迂回包抄。,迂回路线。,迂回战术。,A
以下哪句话中“正房”的意思(或用法)与其他句子不同。,我家正房是一家之主。,他是我的正房。,我家正房朝南。,我们家的大事小事都听正房的。,C
以下哪句话中“屈节”的意思(或用法)与其他句子不同。,他虽然没什么出息，但也不愿卑恭屈节。,为了生活，他愿意卑躬屈节。,屈节事仇。,一个人犯了错该向人道歉，但不应该卑躬屈节。,C
以下哪句话中“孩子头”的意思(或用法)与其他句子不同。,孩子头指老跟孩子们在一起玩的成年人。,小明是个孩子头，经常带着一群孩子到处玩。,作为孩子头的李明，总是命令他的小弟们做这做那。,村里的孩子头虽然调皮，但对待老人很有礼貌。,A
