问题,选项1,选项2,选项3,选项4,答案
以下哪个句子使用了比喻修辞手法？,您的眼泪是世界上最名贵的珍珠。,春天轻轻的走来了，到处充满了温暖。,只有启程，才会到达理想和目的地，只有拼搏，才会获得辉煌的成功，只有播种，才会有收获，,如果说，世界上还有哪一种爱是无私的话，那就是母亲对于子女的爱，如果说，世界上还有哪一种爱可以让我们泪流满面，那也只有母亲对儿女的爱，如果说世界上还有哪一种爱可以让我们放弃一切，那也只有母亲对儿女的爱。,A
以下哪个句子使用了比喻修辞手法？,朋友不会讥讽你的微笑，朋友不会欺骗你的情感，朋友不会打乱你的节拍，朋友不会纵容你的过错。,清澈的小溪，你清脆悦耳的歌声多么欢快。,早开的野花一朵两朵，那是春天的眼睛。,睡莲揉着朦胧的眼睛，仔细的打探着这个世界。,C
以下哪个句子使用了拟人修辞手法？,没有阳光，就没有温暖的日子，没有雨露，就不会有五谷丰登，没有水，就不会有生命。,大海是如此的变换末测，像肆虐的猛兽。,风是调皮的，一会把那朵悠闲的云赶得满天跑，还不断变化她的面具。,太阳已经快落下去了，这时，它真像个大火球，旁边的云也被染成了红色。,C
以下哪个句子使用了拟人修辞手法？,自私是一面镜子，镜子里永远只看得到自己。,漓江的水真静啊，静得让你感觉不到它在流动，漓江的水真清啊，清得可以看见江底的沙石。,那拱卫在泰山膝盖下的无数小馒头，却是沮涞山等著名的山岭。,布谷鸟在春天的舞台上，奏响了一支美妙动听的乐曲。,D
以下哪个句子使用了排比修辞手法？,没有阳光，就没有温暖的日子，没有雨露，就不会有五谷丰登，没有水，就不会有生命。,高山不屑一顾的俯视着大地。,清澈的小溪，你清脆悦耳的歌声多么欢快。,没有理想，人生就如荒漠，没有生气。,A
以下哪个句子使用了排比修辞手法？,秋天又迈着沉稳的脚步款款地向我们走来，又悄无声息地走开。,姹紫嫣红不曾迷住他的眼，青松劲竹遮不住他的温润光芒，狂风暴雨抹不去他的锐意，有他的地方，就好像有希望。,秋便以翩跹之姿踏碎了夏天的流言，携着丰收的喜悦，将大地渲染成一片金色海洋。,阳光洒在湖面上，随着湖水的缓缓波涛，如同万颗金粒跳跃舞动，美丽极了。,B
以下哪个句子使用了比喻修辞手法？,大树脱下破旧的外衣，又开始新的生活，它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶。,天空像一幅水墨画，云朵如墨线轻细勾勒，大自然化身为一位巧妙的画家。,坚持正面教育为主，坚持学用结合，坚持问题导向，坚持领导带头。,校园的美景，是那绿树环抱的操场和那飘扬的国旗，校园的美景，是那整齐统一的校服和那活泼的学生，校园的美景，是那琅琅读书的声音和那明亮的教室，校园的美景，是那渴求知识的目光和那无私的人们,B
以下哪个句子使用了比喻修辞手法？,夏日炎炎，知了趴在树上，向人们抱怨着这烦人的天气。,在指导思想上纠“偏”，在工作运行上治“漂”，在末端落实上防“虚”。,因为有了你，在生命的悬崖前，我不曾退缩过，因为有了你，在坠入深渊时，我始终都有挣扎向上的勇气与力量，因为有了你，珠穆琅玛峰上才会出现我的足迹，因为有了你，在阴暗的道路上行走我都不会感到丝毫的害怕，心头总暖暖的,片片黄叶走完了一生，像纷纷的游子落叶归根。,D
以下哪个句子使用了反问修辞手法？,太阳离我们有多远呢？,你现在参加工作了吗？,难道他自己就没有错吗？,犯过错误的人用不用？,C
以下哪个句子使用了拟人修辞手法？,太阳西沉，天空出现粉红的绸丝缎，那是晚霞。,天空像是一只大鸟的丰满的翅膀，全是白色羽毛般的浮云。,关爱是一个眼神，给学生无声的祝福，关爱是一缕青风，给学生身心的舒畅，关爱是一场春雨，给学生心田的滋润，关爱是一句问侯，给学生春天的温暖。,它们伸展自己四季常绿的手臂，一片片狭长的叶子在雨雾中欢笑着。,D
以下哪个句子使用了反问修辞手法？,这本故事书是谁的？,有人看见小明来上学了吗？,你知道小学几点放学吗？,你这样三天打渔两天晒网，怎么学得好数学呢？,D
以下哪个句子使用了反问修辞手法？,你这双鞋子好好看，是在哪里买的？,你能否给出更多证据来支持你的观点？,这件事怎么可能是我做的？,老师今天买了很多零食送给学生，是什么原因呢？,C
以下哪个句子使用了反问修辞手法？,这怎么会是巧合呢？,他画的是什么呢？,世界再大也大不过自己，是这样么？,这本故事书是谁的？,A
以下哪个句子使用了比喻修辞手法？,防止以单位学代替支部学，以干部身份学代替党员身份学，以工作业务学代替党性党务学。,两袖清风是廉者的幸福，生意兴隆是商人的幸福，惩恶锄奸是侠士的幸福，品学兼优是学生的幸福，扶危济困是善人的幸福，春种秋收是农人的幸福，桃李芬芳是师者的幸福，儿孙满堂是长者的幸福，生活温饱是穷人的幸福，海枯石烂是爱人的幸福。,它挂在小树上，像给小树披上了一层美丽的纱裙，它浮在小河上，像许多小虫在蠕动，它落在草地上，像给无边的绿毯绣上了白色的小花，它飞到田野上，给辛勤的农民伯伯跳起了欢乐的舞，它来到幼儿园，抚摸着孩子的脸蛋。,太阳出来月亮就回家了。,C
以下哪个句子使用了排比修辞手法？,星星闪烁在夜空中，像是在为人们指引着前进的方向，带来希望和温暖。,讲政治，有信念，讲规矩，有纪律，讲道德，有品行，讲奉献，有作为。,溪水唱着歌，欢快地向前奔跑,她的善良像一束光芒，照亮了周围的一切，让人们感受到爱和关怀。,B
以下哪个句子使用了排比修辞手法？,成功是什么，是一次考试的优异成绩，成功是什么，是给我们自信的泉源，成功是什么，是经过不懈努力最终达到目的的喜悦。,我沐浴在大自然的怀抱中，让柔和的晚风轻抚着鬓角，吹去一切郁闷和烦恼。,时间是一颗浑然不被觉察的蛀牙，前一天还好好的没有任何感觉，第二天发现时它已接近镂空。,一个人如果没有理想，他的人生就如同一片荒漠，没有生气，索然无味。,A
以下哪个句子使用了反问修辞手法？,你怎能会这样无情无义呢？,他画的是什么呢？,你有什么建议？,你今年几岁了？,A
以下哪个句子使用了排比修辞手法？,冬姑娘的到来，给大地披上了一层洁白的棉衣。,在大事大非问题上不糊涂，做明白人，在体制转换关口上不迷茫，干明白事，在作风形象考验上不丢分，交明白账。,那张床像是一个温暖的怀抱，让我在疲惫时得到了安慰。,荷叶上有几颗像钻石那么闪亮的小露珠，将翠绿的荷叶装点地十分美丽。,B
以下哪个句子使用了排比修辞手法？,如果说人生是一幅油画，那么，青春必是五彩斑斓的颜料，如果说人生是一场球赛，那么，青春必是活力四射的来源，如果说人生是一首音乐，那么，青春必是倾注情感的心灵,雨滴跳跃在窗户上，像是在唱着一首欢快的歌曲，提醒人们它们的存在。,月亮悄悄地爬上了树梢，轻轻地为大地披上了一层银色的面纱。,大海是如此的变换末测，像肆虐的猛兽，在呼号的狂风和瓢泼的大雨中，似乎要把世界上的一切东西通通毁灭。,A
以下哪个句子使用了反问修辞手法？,花生的品质难道不算高尚吗？,最近来学校都看不到小明，他是去干什么了？,刚才我去逛街，看到一个人的背影跟你很像，是你吗？,你和小李是好朋友吗？,A
以下哪个句子使用了排比修辞手法？,笋芽儿揉了揉眼睛，伸了伸懒腰，慢慢地从泥土中抬起头来，与美丽的春天打了个招呼。,那片叶子像是一位舞者，在风中翩翩起舞。,春天像刚刚落地的娃娃，从头到脚都是新的，它生长着,确保党的组织充分履行职能，发挥核心作用，确保党员领导干部忠诚干净担当，发挥表率作用，确保广大党员党性坚强，发挥先锋模范作用。,D
以下哪个句子使用了排比修辞手法？,闪着寒光的石头如智者般透着灵气，在山谷中沉默着，沉默着，似乎在等待着知音的出现。,雨丝飘落在湖面上，如天使的眼泪，轻柔地触碰水面，激起千层涟漪。,因为有了你，在生命的悬崖前，我不曾退缩过，因为有了你，在坠入深渊时，我始终都有挣扎向上的勇气与力量，因为有了你，珠穆琅玛峰上才会出现我的足迹。,柳树在春光的沐浴下，尽情地摇摆舞蹈，它那婀娜的舞姿，是那么美，那么自然。,C
以下哪个句子使用了比喻修辞手法？,他的忍耐力就像一头顽强的骏马，无论遇到何种困难都能坚持下去。,迎着和煦的春风，青蛙打了个哈欠，伸了个懒腰，走出家门。,讲政治，有信念，讲规矩，有纪律，讲道德，有品行，讲奉献，有作为。,秋天到了，树上金红的果子露出了笑脸，她在向着我们点头微笑。,A
以下哪个句子使用了排比修辞手法？,太阳无语，却放射出光辉，高山无语，却体现出巍峨，大地无语，却展示出广博。,高山不屑一顾的俯视着大地，屹立在广袤的土地上。,落叶翩翩如舞者，在秋风的指挥下，轻盈地旋转着，舞动着大自然的哀愁与悲壮。,玉盘似的明月高挂在淡蓝色的天空中，月光像流水一样泻下来，大地一片银白色。,A
以下哪个句子使用了比喻修辞手法？,重大战略思想，重大理论观点，重大决策部署。,那部电影的情节宛如一条盘旋的小溪，引人入胜、令人陶醉。,大海波涛汹涌，像是在为人们讲述着它的故事，不断地吸引着人们去探索。,荷花真美啊，美的吸引来许多中外游客，荷花真香啊，香的引来许多蜜蜂和蝴蝶，荷花真多啊，多得让人眼花缭乱。,B
以下哪个句子使用了拟人修辞手法？,突出目标导向，突出问题导向，突出实践导向。,当四周很安静的时候，蟋蟀就在这平台上弹琴。,晨曦中，海面如同一面巨大的镜子，映射着晨光的微妙变化，仿佛仙境一般，让人沉醉其中。,闪着寒光的石头如智者般透着灵气。,B
以下哪个句子使用了比喻修辞手法？,如果没有你，嫦娥奔月的传说就仍是一个神话，一个令人向往的的神话，如果没有你，人类就会仍在原始社会那徘徊，如今的幸福生活也将不复存在，如果没有你，那锋利的刀箭也就只不过是一支支锈钝的废铁,荷塘里的荷花都羞涩地打着朵儿。,月光洒在湖面上，像是银河倒映在人间，宛若诗人笔下的夜空。,小柳树听了，不好意思的笑了。,C
以下哪个句子使用了反问修辞手法？,难道我不值得你信任吗？,小红擅长唱歌，小明擅长跳舞，你的特长是什么？,我看你经常在学校附近活动，你是这里的学生吗？,明天是妈妈生日，你准备送什么礼物给妈妈？,A
以下哪个句子使用了拟人修辞手法？,小池里那美丽的荷花，像亭亭玉立的公主。,以坚定的理想信念坚守初心，以真挚的人民情怀滋养初心，以牢固的公仆意识践行初心。,人们都爱春天，爱她的山青水绿，爱她的万紫千红，人们都爱秋天，爱她的秋高气爽，爱她的硕果累累，人们都爱夏天，爱她的夏雨绵绵，爱她的艳阳高照，人们都爱冬天，爱她的白雪皑皑，爱她的洁白无瑕。,叮咚，叮咚，欢快的泉水弹着琴跑下山去。,D
以下哪个句子使用了比喻修辞手法？,柳树那婀娜的舞姿，是那么美，那么自然。,当悲伤的水流入稳重的山，水这可怜儿的悲伤也勾起了山的悲伤，于是他们的心一起碎了，水把头埋入地下，山却把心的碎片一块块收好。,感恩，让我懂得“天下父母之心尤为贵”，感恩，让我懂得“承膝于祖辈的乐趣”，感恩，让我领略到阳光的妩媚，感恩让我明的什么是披肝沥胆，风雨同舟，,闪着寒光的石头如智者般透着灵气。,D
以下哪个句子使用了拟人修辞手法？,往里面走，一棵棵葡萄树形成了一个巨大的伞把阳光盖住，一颗颗葡萄犹如一个个晶莹的珠，又仿佛像一颗颗水晶般玛瑙，让人看着就想吃。,时间好象一把尺子，它能衡量奋斗者前进的进程。,朋友不会讥讽你的微笑，朋友不会欺骗你的情感，朋友不会打乱你的节拍，朋友不会纵容你的过错。,树缝里也漏着一两点路灯光，没精打彩的，是渴睡人的眼。,D
以下哪个句子使用了拟人修辞手法？,“举酒邀明月”是一种孤寂的潇洒，“仰天大笑出门去”是一种自信的潇洒，“我自横刀冲天笑”是一种无畏的潇洒。,朋友是一个港湾，一个可以让你的心灵休息的港湾。,没有阳光，就没有温暖的日子，没有雨露，就不会有五谷丰登，没有水，就不会有生命。,条岭都是那么温顺，谁也不孤峰突起，咄咄逼人。,D
以下哪个句子使用了排比修辞手法？,把突出问题找出来，把整改措施定出来，把整改承诺亮出来。,秋天是美丽的，在曼妙的韵律中舞着她的裙摆。,他像一只鹰一样锐利地盯着目标。,林间蝉鸣声，犹如时间的细微涟漪，荡漾在宁静的山谷中。,A
以下哪个句子使用了排比修辞手法？,夏季这个顽劣的小孩子，将大地烤的如一个热气腾腾的大蒸笼，娇弱的荷花低下了头，大黄狗‘吭哧吭哧’地喘着粗气，夏天得意地笑了,山中的石，当你背靠群峰时，意志就坚了，水中的萍，当你随波逐流后，根基就没了，空中的鸟，当你展翅蓝天中，宇宙就大了。,它脱下破旧的外衣，又开始新的生活，它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶。,思念是一首诗，让你在普通的日子里读出韵律来。,B
以下哪个句子使用了比喻修辞手法？,风儿轻舞，草原仿佛一片起伏的海洋，泛着绿色的波涛，迎着夕阳的绚烂余晖。,燕子去了，有再来的时候，杨柳枯了，有再青的时候，桃花谢了，有再开的时候。,在“学”上下真功，在“做”上动真格，在“改”上出实招，在“促”上求实效。,着力在思想认识上再聚焦再提升，着力在学用结合上再拓展再深化，着力在组织领导上再强化再加力。,A
以下哪个句子使用了排比修辞手法？,风是调皮的，一会把那朵悠闲的云赶得满天跑，还不断变化她的面具，让下面的人们猜不着是个什么面具。,也许你无法拥有深邃的蓝天，但是你可以做飘逸的白云，也许你无法拥有浩瀚的大海，但是你可以做清幽的小溪，也许你无法拥有辽阔的草原，但是你可以做执着的绿洲。,那条河像是一条银色的彩带，在山间奔腾，似乎为广袤的大地绑上了一条亮眼的腰带。,海面上闪烁着一串一串五彩缤纷的光圈，就像我在家用肥皂沫沫吹的小泡泡。,B
以下哪个句子使用了排比修辞手法？,秋天是美丽的，在曼妙的韵律中舞着她的裙摆，落叶飘零。,兴安岭是多么会打扮自己啊：青松作衫，白桦为裙，还穿着绣花鞋。,学习自我推动，方法自我设计，问题自我化解。,这个时代像一场狂欢的盛宴，各种新奇的事物和想法层出不穷,C
以下哪个句子使用了反问修辞手法？,这瓶饮料是谁买来的？,难道我们就万事不如人吗？,雪中何以赠君别？,你想要喝茶吗？,B
以下哪个句子使用了比喻修辞手法？,这种血性，源自对信念的坚守，源自对祖国的忠诚，源自对人民的热爱，源自对军人荣誉的珍惜。,如果没有你，嫦娥奔月的传说就仍是一个神话，一个令人向往的的神话，如果没有你，人类就会仍在原始社会那徘徊，如今的幸福生活也将不复存在，如果没有你，那锋利的刀箭也就只不过是一支支锈钝的废铁,阳春三月，沉睡了一冬的银梨树被蒙蒙细雨淋醒。,晨曦微露，初升的太阳如同一张红色的锦绣织物，轻轻展开，将黎明的美丽娓娓道来。,D
以下哪个句子使用了排比修辞手法？,雪花纷纷落下，宛如悄悄地散发着纯洁的诗意，覆盖了整个世界。,桃树、杏树、梨树，你不让我，我不让你，都开满了花赶趟儿，整个园子变成了鲜花的海洋，只只蝴蝶飞舞其中，好不热闹。,调皮的雪娃娃飘到雪松爷爷的身上，雪松爷爷被逗得笑弯了腰。,谅解是一股和煦的春风，能消融凝结在人们心中的坚冰，谅解是一束温暖的阳光，能驱散积聚在人们心头的阴云，谅解是一场绵绵的春雨，能洗涤飘落在人们心头的尘埃。,D
以下哪个句子使用了比喻修辞手法？,桃树杏树梨树，你不让我，我不让你，都开满了花赶趟儿。,静物是凝固的美，动景是流动的美，直线是流畅的美，曲线是婉转的美。,海面上闪烁着一串一串五彩缤纷的光圈，就像我在家用肥皂沫沫吹的小泡泡。,每一棵绿树上，都有森林的苍翠，每一滴露珠上，都有太阳的光辉，每一朵鲜花上，都有迷人的花香。,C
以下哪个句子使用了比喻修辞手法？,他的脸红红的像苹果。,春蚕吃饱了桑叶，高兴地抬起头来向我打招呼。,打好融入经常“持久战”，打好守土尽责“阵地战”，打好常态改造“运动战”。,请保存一份单纯，使你多一份与人的友善，少一些心灵的冷酷麻痹，请保存一份单纯，使你多一份人生的高兴，少一些精神的衰老疲乏，请保存一份单纯，使你多一份奋进的力气，少一些故作高深的看破红尘。,A
以下哪个句子使用了反问修辞手法？,你觉得我们应该怎么做？,那浪花所奏不恰是一首欢喜的歌吗？,你最近在忙什么呢？,你最喜欢的书是什么？,B
以下哪个句子使用了比喻修辞手法？,午时的花经过阳光的沐浴，似乎精神了好多，伸了下腰肢，打开了花瓣，迎接一天当中最强的光照，花开了。,果园里硕果累累，红通通的苹果像小姑娘饱满的脸蛋。,他不如百花艳丽多姿，却承载一身的青绿，穿梭在春去秋来，他不如树木的高大挺拔，却沿着绵延的大地，覆盖了无垠世界。姹紫嫣红不曾迷住他的眼，青松劲竹遮不住他的温润光芒，野火烧不尽，春风吹又生，有他的地方，就好像有希望。,笃信，知行合一，敬终如始悟初心，笃定，正心明道，修身齐家守初心，笃行，融入时代，不懈奋斗践初心。,B
以下哪个句子使用了拟人修辞手法？,春天的雨，细腻而轻柔，给山野披上美丽的衣裳，夏天的雷，迅疾而猛烈，为生命敲响热烈的战鼓，秋天的风，凉爽而惬意，为落叶送去温馨的问候，冬天的雪，慈祥而温厚，为庄稼带来多情的呵护。,风儿唱着歌，唤醒了沉睡中的大地。,坚持正面教育为主，坚持学用结合，坚持问题导向，坚持领导带头。,这个人物像一位传奇的英雄，勇敢而坚定，令人敬仰和崇拜。,B
以下哪个句子使用了排比修辞手法？,这段历史像一条蜿蜒曲折的河流，流淌着无数的故事和回忆。,油蛉在这里低唱，蟋蟋们在这里弹琴。,这个梦想像一束耀眼的光芒，指引着前进的方向，让人不畏困难。,特别讲政治，特别讲规矩，特别讲责任，特别讲成效。,D
以下哪个句子使用了排比修辞手法？,政治合格，执行纪律合格，品德合格，发挥作用合格。,风儿轻轻拂过稻田，如一双温柔的手指，抚摸着麦浪轻舞的心灵。,今天，太阳好害羞，躲在厚厚的云层后面，迟迟不肯露面。,月季花最里面一层包住花心，好像小姑娘在房屋里躲来躲去。,A
以下哪个句子使用了排比修辞手法？,太阳一出来，月亮就迈着轻松愉快的步子回家了。,我们必须在指导思想上纠“偏”，在工作运行上治“漂”，在末端落实上防“虚”。,月色如水，洒在静谧的湖面上，犹如一层银纱轻轻覆盖。,我看到山坡上、大路边、村子口，榛树叶子全都红了，红得像一团团火，把人们的心也给燃烧起来了。,B
以下哪个句子使用了拟人修辞手法？,天空中的星星眼睛一眨一眨的。,那沉甸甸的稻谷，像一垄垄金黄的珍珠，真是喜煞人啊！,金色的阳光照耀着湖水，湖面就像一个巨大无比的笑脸。,追求是永不放弃地奔跑，我们需要目标。追求是永不放弃地奔跑，我们需要坚持。追求是永不放弃地奔跑，我们需要超越。,A
以下哪个句子使用了比喻修辞手法？,树叶在风中哗啦啦地唱着动听的歌曲，诉说着自己的快乐。,几场春雨后，笋芽争先恐后地从泥土中探出头来，看看这新奇的世界。,初雪飘落，白茫茫的世界宛如一幅梦幻的画卷，纯净而寂静，冰雪装点着大地，让人心生敬畏与向往。,让我们用沸腾的血液来跳这支属于我们自己的舞，用那激情的舞步来装饰这个舞台，用那怡人的音乐、迷人的舞姿来演绎我们年轻时的花式，用那旺盛的精力与对完美的执着来踏亮这脚下的光环，让它闪耀的绽放着自己的光芒，用那聪明才智与不懈努力，把一切挫败臣服于脚下,C
以下哪个句子使用了拟人修辞手法？,静物是凝固的美，动景是流动的美，直线是流畅的美，曲线是婉转的美。,给我一次艰难，让我懂得战胜，给我一次挫折，让我饱尝锻炼，给我一次失利，让我学会检讨，给我一次耻辱，让我学会振奋，我多谢每一次带我走向成功的阅历。,雪挂在树上，像一朵朵大白花。,收音机天天说不停，令邻居十分讨厌。,D
以下哪个句子使用了排比修辞手法？,让倾听的过程成为享受，让倾听的过程在我们心中沉浸，让倾听成为人与人之间的纽带。,友谊是花园中美丽的花朵，装点我们的人生之路。,静的夜晚，只有那天上的星星在窃窃私语。,秋天是美丽的，在曼妙的韵律中舞着她的裙摆。,A
以下哪个句子使用了排比修辞手法？,照搬照抄的“大话”，违背事实的“假话”，因循守旧的“老话”，脱离实际的“空话”。,向日葵开着一轮金色的大花，花瓣上含着亮晶晶的银色露珠。,秋天到了，树上金红的果子露出了笑脸，她在向我们点头微笑。,月光洒在湖面上，如同银纱轻拂着大地的梦境。,A
以下哪个句子使用了比喻修辞手法？,假如没有追求，我们只会在凄厉中颤抖，假如没有追求，我们只会在艰难中怒吼，假如没有追求，我们只能在狂风暴雨中苟延残喘，假如没有追求，我们只能在山穷水尽中束手无措。,剥开橘子，哈，里面躲着十来个月亮似的橘娃。,我和妹妹一起跑入雨中，欢呼春雨姑娘的到来。,风儿清唱着歌，唤醒了沉睡中的大地。,B
以下哪个句子使用了拟人修辞手法？,给我一次艰难，让我懂得战胜，给我一次挫折，让我饱尝锻炼，给我一次失利，让我学会检讨，给我一次耻辱，让我学会振奋，我多谢每一次带我走向成功的阅历。,晨曦透过云层穿透大地，仿佛一缕温柔的光芒轻抚着沉睡的大自然。,柳树姐姐在春风中扬着自己美丽的头发。,路旁的旷野里山坡上，野菊花金黄金黄的，像星星装点蓝天一样，装饰着宽广的田野。,C
以下哪个句子使用了比喻修辞手法？,夜深了，星星困的直眨眼睛。,兴安岭是多么会打扮自己啊：青松作衫，白为裙，还穿着绣花鞋。,女孩有的弯腰捡着，两条辫子像蜻蜓的翅膀，上下飞舞着。,若无每日闻鸡起舞坚持不懈的毅力，那么祖逖又怎能北伐中原而名垂千古，若无长年笔走龙蛇墨染池水的工夫，那么王羲之又怎能挥毫盖世被尊为书圣，若无半生钻研演算草稿盈筐的血汗，那么陈景润又怎能摘取明珠享誉世界。,C
以下哪个句子使用了拟人修辞手法？,雪挂在树上，像一朵朵大白花。,以党的旗帜为旗帜，以党的意志为意志，以党的使命为使命。,突出目标导向，突出问题导向，突出实践导向。,月亮爬上了树梢，轻轻地进入梦乡，留下了一片宁静的夜空。,D
以下哪个句子使用了比喻修辞手法？,秋天的黄叶，徒留一声叹息，飘落在地上。,“举酒邀明月”是一种孤寂的潇洒，“仰天大笑出门去”是一种自信的潇洒，“我自横刀冲天笑”是一种无畏的潇洒。,秋天到了，树上金红的果子露出了笑脸，她在向着我们点头微笑。,老师是蜡烛，照亮了别人，耗尽了自己。,D
以下哪个句子使用了排比修辞手法？,这座古老的城市宛如一位沉睡的女神，静静地躺在山脚下，被岁月轻轻抚摸，散发着沉甸甸的历史氛围。,夜空中的小星星顽皮地眨着眼睛，一闪一闪地为深蓝色的天空增加了许多生机。,风儿轻轻吹过，树叶翩翩起舞，仿佛在向人们展示它们的美丽。,以大战略全面治党治国治军，以大气魄运筹国际国内大局，以大智慧推进改革发展稳定，以大担当破解难局危局险局。,D
以下哪个句子使用了排比修辞手法？,黄昏时分，夕阳如一幅抽象画，将天空染成瑰丽的橙红色，给人一种宁静而温暖的心境。,不要责怪自己的轻狂，那是你幼时最闪亮的胎记，不要抱怨自己的默默无闻，平凡与伟大只不过是一瞬，不要因月缺月圆而心存悲伤，世间的悲欢离合是必然的。,风儿带着云彩飘过，仿佛是在告诉我们，生命的旅程就像一场自由的飞翔。,蜡烛上的火光欢快地舞蹈着，黄色的暖光好似它起舞时的裙摆，那飘扬的裙摆掠过房间里的每一寸角落。,B
以下哪个句子使用了反问修辞手法？,你这难道不是在自寻烦恼吗？,在茫茫人海里，你是根据什么判断那个人就是我？,信念值多少钱？信念是不值钱的，它有时甚至是一个善意的欺骗。然而你一旦坚持，它就会迅速升值。,你如何把过去的不愉快的记忆抛弃，把这部分经历扔进沧海？,A
以下哪个句子使用了比喻修辞手法？,我们村子前面的小山包，远远看上去真像一个绿色的大绒团。,青春啊，你犹如那火红的太阳般璀璨，令我陶醉在其中，你犹如那清晨的山间景色般灵秀，令我如痴如醉，你犹如那清凉可口的山泉般铭心，让我精神抖擞,大树脱下破旧的外衣，又开始新的生活，它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶。,两袖清风是廉者的幸福，生意兴隆是商人的幸福，惩恶锄奸是侠士的幸福，品学兼优是学生的幸福，扶危济困是善人的幸福，春种秋收是农人的幸福，桃李芬芳是师者的幸福，儿孙满堂是长者的幸福，生活温饱是穷人的幸福，海枯石烂是爱人的幸福。,A
