问题,选项1,选项2,选项3,选项4,答案
“千张”与“豆腐皮” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“宝物”与“瑰宝” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“体育”与“板球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“低头”与“抬头” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“病毒”与“流感病毒” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“太阳”与“日头” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“接受”与“接纳” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“四不像”与“麋鹿” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“业绩”与“功绩” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“冰雹”与“雹子” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“体验”与“感受” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“疏远”与“亲密” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“厨具”与“锅” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“病毒”与“乙肝病毒” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“乐器”与“拉弦乐器” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“位置”与“职位” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“进口”与“出口” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“低落”与“消极” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“目不转睛”与“聚集会神” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“宝贝”与“珍品” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“回声”与“回音” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“衣饰”与“服饰” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“低落”与“下降” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“口气”与“口风” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“低头”与“垂头” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“普通”与“特别” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“植物”与“树” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“声息”与“动静” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“特别行政区”与“澳门” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“植物”与“蔬菜” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“生物”与“植物” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“矫揉造作”与“落落大方” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“植物”与“水果” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“厨具”与“筷子” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“苹果”与“红富士苹果” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“王菲”与“歌星” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“用心”与“马虎” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“对策”与“计谋” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“水果”与“苹果” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“不幸”与“噩运” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“植物”与“花草” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“体育”与“乒乓球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“信件”与“函件” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“作”与“息” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“机密”与“公开” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“办法”与“措施” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“计算机”与“微型计算机” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“书信”与“鸿雁” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“天使”与“安琪儿” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“动物”与“鱼类” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“儿科”与“小儿普外” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“回声”与“回响” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“体会”与“心得” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“体育”与“棒球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“心胸开阔”与“心胸狭窄” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“墨水”与“学识” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“内心”与“心头” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“鸟”与“麻雀” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“植物”与“蕨类植物” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“事故”与“事情” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“杜鹃鸟”与“布谷鸟” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“电器”与“电脑” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“山西”与“晋” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“失去”与“得到” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“乐器”与“弹拨乐器” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“包心菜”与“卷心菜” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“阳历”与“公历” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“乐器”与“电声乐器” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“刘备”与“汉昭烈帝” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“小船”与“扁舟” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“朔月”与“新月” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“隐秘”与“公开” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“交通工具”与“车” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“报纸”与“中国日报” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“儿科”与“小儿泌尿外科” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“自负”与“谦虚” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“时光”与“流年” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“恭顺”与“倔强” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“入口”与“出口” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“厨具”与“瓢” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“有序”与“无序” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“望月”与“满月” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“笔”与“钢笔” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“动物”与“鸟类” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“意义”与“含义” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“体育”与“足球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“优质”与“劣质” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“体育”与“排球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“交通工具”与“船” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“业务”与“生意” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“笔”与“毛笔” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“创作”与“著述” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“报纸”与“光明日报” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“字典”与“词典” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“乐观”与“悲观” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“倾倒”与“倒出” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“植物”与“真核藻类” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“计算机”与“小型计算机” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“病毒”与“冠状病毒” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“低声”与“高声” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“动物”与“两栖动物” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“团体”与“集体” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“笔”与“水笔” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“体育”与“篮球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“杜鹃”与“布谷鸟” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“儿科”与“新生儿外科” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“报纸”与“解放军报” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“厨具”与“盆” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“体育”与“拳击” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“宝物”与“至宝” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“有利”与“有弊” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“病毒”与“轮状病毒” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“响声”与“动静” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“笔”与“粉笔” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“厨具”与“碗” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“体育”与“羽毛球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“团体”与“集团” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“乐器”与“键盘乐器” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“生物”与“微生物” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“家当”与“家业” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“执政”与“下台” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“植物”与“低等植物” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“动物”与“昆虫” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“粮食”与“谷物” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“节日”与“清明” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“卑劣”与“高尚” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“安心”与“担心” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“血浆蛋白”与“球蛋白” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“清醒”与“糊涂” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“报酬”与以下哪个词具有近义关系？,酬金,报名,报道,酬谢,A
“方法”与以下哪个词具有近义关系？,道理,操做,本领,措施,D
“麦克风”与以下哪个词具有近义关系？,耳机,话筒,收音机,电视,B
“意味”与以下哪个词具有近义关系？,意境,味道,寓意,意义,C
“乐色”与以下哪个词具有近义关系？,副品,物品,废旧,垃圾,D
“凤梨”与以下哪个词具有近义关系？,芭乐,菠萝,柳橙,百香果,B
“直接”与以下哪个词具有反义关系？,直白,干脆,果断,间接,D
“座机”与“电话” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“老年”与以下哪个词具有反义关系？,青春,老翁,暮年,孩童,D
“先进”与以下哪个词具有反义关系？,落后,阻碍,发展,停滞,A
“诉说”与“陈述” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“喜悦”与以下哪个词具有反义关系？,忧愁,喜欢,愁容,担忧,A
“玫瑰”与“蔷薇” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“穹苍”与以下哪个词具有近义关系？,天空,悬崖,空气,天籁,A
“工资”与以下哪个词具有近义关系？,资本,工作,薪资,工具,C
“活佛”与以下哪个词具有近义关系？,佛珠,喇叭,喇嘛,活人,C
“意图”与以下哪个词具有近义关系？,打算,成算,图腾,意思,A
“高等”与以下哪个词具有反义关系？,等待,低等,高档,上等,B
“手段”与以下哪个词具有近义关系？,动作,手法,方法,手术,C
“牙”与“牙龈” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“喜欢”与“喜爱” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“学问”与“学术” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“冷冷清清”与“热热闹闹” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“餐具”与以下哪个词具有上下位关系？,餐厅,餐垫,晚餐,午餐,B
“温暖”与以下哪个词具有反义关系？,寒气,冰山,寒冷,寒冽,C
“生活用品”与以下哪个词具有上下位关系？,牙签,便签,书签,名签,A
“窍门”与以下哪个词具有近义关系？,决定,门面,秘诀,秘密,C
“吸尘器”与“肩式吸尘器” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“民主”与以下哪个词具有反义关系？,民生,独裁,阴晦,人民,B
“面子”与“颜面” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“轻松”与以下哪个词具有反义关系？,繁琐,繁忙,松弛,紧张,D
“门锁”与以下哪个词具有整体部分关系？,门,看门,门票,敲门,A
以下哪一组词具有整体部分关系？,“暴利”与“亏本”,“路面”与“底基层”,“诉说”与“倾诉”,“少林拳”与“武术”,B
以下哪一组词具有上下位关系？,“月亮”与“月球”,“胃”与“网胃”,“京剧”与“戏曲”,“明亮”与“黯淡”,C
“眉毛”与“人体” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“开化”与“化冻” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“漆黑”与“光明” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“水瓶”与“瓶盖” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
以下哪一组词具有近义关系？,“内分泌系统”与“人体系统”,“捷报”与“佳音”,“协作”与“不配合”,“花”与“雄蕊”,B
“捉拿归案”与“拘捕” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
以下哪一组词具有上下位关系？,“低廉”与“昂贵”,“眼球”与“晶状体”,“数量”与“储量”,“生机盎然”与“欣欣向荣”,C
“倾家荡产”与以下哪个词具有近义关系？,兴隆,倒库,倒台,台面,C
“眼镜”与以下哪个词具有整体部分关系？,眼睛,镜架,镜子,眼神,B
“内因”与“外因” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“衣装”与以下哪个词具有上下位关系？,秋裤,尼龙,线头,裤头,A
“国家工作人员”与以下哪个词具有上下位关系？,职业,公务员,事业,歌手,B
“弹奏”与“演奏” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“硬盘”与以下哪个词具有整体部分关系？,盘体,软件,信息,数据库,A
“罕见”与以下哪个词具有反义关系？,看见,稀罕,常见,见面,C
以下哪一组词具有反义关系？,“呼出”与“吸入”,“裤子”与“喇叭裤”,“原子”与“质子”,“惊悸”与“惊吓”,A
“赶快”与“赶紧” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“喉咙”与“呼吸道” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“轮组”与“自行车” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“树叶”与以下哪个词具有整体部分关系？,树冠,芦荟,草丛,麦草,A
“侮辱”与以下哪个词具有反义关系？,耻辱,尊重,辱骂,尊称,B
“蛋黄”与“鸡蛋” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“富人区”与“贫民窟” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“常常”与“经常” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
以下哪一组词具有整体部分关系？,“休闲装”与“正装”,“杯子”与“杯盖”,“主席”与“总统”,“病害”与“流胶病”,B
“自重”与以下哪个词具有反义关系？,自信,自责,自弃,自满,C
“学问”与以下哪个词具有近义关系？,衣钵,沧海,学识,作业,C
“笔芯”与“铅笔” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“桃木剑”与“法器” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“路标”与以下哪个词具有近义关系？,红路灯,指向柱,十字路,标线,B
“核桃”与以下哪个词具有整体部分关系？,分心木,巴木旦,苹果,水果,A
“羊毛”与“山羊” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“手腕”与“手” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
以下哪一组词具有整体部分关系？,“高档”与“中低档”,“座椅”与“自行车”,“铺陈”与“陈列”,“盐”与“工业盐”,B
“壮士”与“勇士” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
以下哪一组词具有反义关系？,“相同”与“不同”,“宁夏”与“宁”,“外科”与“医院科室”,“船尾”与“船”,A
“蔬菜”与以下哪个词具有上下位关系？,化肥,土壤,菠菜,猪肉,C
“衣服”与以下哪个词具有整体部分关系？,风格,装饰,扣子,裤子,C
“沉着”与“惊魂未定” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“沉着”与“惊慌失措” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“浅滩”与“盐碱滩” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“链齿”与“拉链” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“电蚊拍”与“指示灯” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“枪”与“枪口” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“泛音”与“音色” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“肝叶”与“肝脏” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“人体”与以下哪个词具有整体部分关系？,氧气,腹部,二氧化碳,流汗,B
“繁荣”与以下哪个词具有近义关系？,盛世,荣誉,繁花,昌盛,D
以下哪一组词具有上下位关系？,“谎言”与“真话”,“欧式”与“型式”,“相貌”与“仪表”,“肌层”与“肠壁”,B
“房屋”与以下哪个词具有整体部分关系？,塑料袋,油漆,煤球,墙壁,D
“开化”与“冻结” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“沉重”与“轻盈” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“文体”与“戏剧” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“乳猪”与“猪脚” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“少壮”与“幼雏” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“动力装置”与“飞机” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“大吉大利”与以下哪个词具有反义关系？,左右为难,知难而进,多灾多难,艰难险阻,C
“协作”与“盲动” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“豫剧”与“戏曲” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“安好”与“危及” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“文学体裁”与以下哪个词具有上下位关系？,电视剧,戏剧,演戏,电影,B
“小号”与“活塞” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“人体”与“胸部” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“骄傲”与“谦虚” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
以下哪一组词具有反义关系？,“棉签”与“棉头”,“孤独”与“孤单”,“坚强”与“软弱”,“草字”与“书法”,C
“中计”与以下哪个词具有近义关系？,中间,上当,计算,计划,B
“拥抱”与“搂抱” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
以下哪一组词具有上下位关系？,“鼻腔”与“鼻子”,“最先”与“最后”,“桌子”与“办公桌”,“耗子”与“鼠”,C
以下哪一组词具有近义关系？,“厄运”与“幸运”,“内存”与“内存模块”,“退却”与“退让”,“骨盆”与“尾骨”,C
以下哪一组词具有反义关系？,“鸭”与“水鸭”,“带劲”与“有劲”,“膝盖”与“人体”,“尖锐”与“平滑”,D
“运动器械”与“跑步机” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“分值”与“票额” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“区别”与“差别” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“眼镜”与“镜片” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“相机”与以下哪个词具有整体部分关系？,闪光灯,照片,灯光,像素,A
“闲逸”与以下哪个词具有近义关系？,清楚,清除,清闲,清晰,C
“名副其实”与“假冒伪劣” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“晚年”与以下哪个词具有近义关系？,年龄,暮年,年少,芳龄,B
“阳光”与以下哪个词具有反义关系？,暮年,阴暗,喜悦,优质,B
“年迈”与“年轻” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
以下哪一组词具有反义关系？,“字体”与“行书”,“闲”与“野鹤闲云”,“到来”与“离去”,“船首”与“船”,C
“奋力”与“大力” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“水分子”与“原子” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“古老”与以下哪个词具有反义关系？,年轻,古今,轻易,轻松,A
“餐具”与以下哪个词具有上下位关系？,快餐,割下,餐刀,聚餐,C
“正派”与“伧俗” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“应当”与“何须” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“减小”与以下哪个词具有反义关系？,大方,增值,增大,增高,C
“数量”与“工作量” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“刚性”与以下哪个词具有反义关系？,和善,慈祥,温和,柔性,D
“能者”与“愚昧” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“洪水”与以下哪个词具有上下位关系？,自来水,大海,瀑布,水,D
“交通工具”与“巴士” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“椅子”与“椅背” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“文武全才”与“弱智” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“萎靡”与以下哪个词具有近义关系？,气馁,同事,项目,工作,A
“美食”与“佳肴” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“文体”与“八股文” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“绳子”与“缨子” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“发动机”与以下哪个词具有整体部分关系？,汽车,路障,变道,道路,A
“运算器”与“计算机” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
以下哪一组词具有近义关系？,“寻觅”与“寻找”,“唇”与“嘴巴”,“开放”与“封建”,“菜”与“酸菜”,A
“全天”与“今日” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“卫生间”与以下哪个词具有整体部分关系？,厕便器,卫生纸,拖把,扫把,A
“铁芯”与以下哪个词具有整体部分关系？,便利贴,垫板,贴纸,线圈,D
“链子”与以下哪个词具有整体部分关系？,链条,链接,发夹,头发,A
“手机”与以下哪个词具有整体部分关系？,充电宝,录音机,WiFi,手机屏幕,D
“场景”与“情景” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“花冠”与“花” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,D
“操心”与以下哪个词具有反义关系？,省心,潮涨,名家,秘策,A
“张艺谋”与“老谋子” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
以下哪一组词具有整体部分关系？,“拳法”与“少林拳”,“龙”与“龙爪”,“昏迷”与“清醒”,“器具”与“器械”,B
“特别”与以下哪个词具有反义关系？,一般,普遍,异常,独特,A
“蔬菜”与以下哪个词具有上下位关系？,红薯,薯条,菜品,菜肴,A
“好玩”与“没意思” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
