问题,选项1,选项2,选项3,选项4,答案
“她曾是个在政府中占有重要位置的女人。”这句话中“位置”与下列哪个词具有近义关系？,空间,职位,地址,地方,B
“他的英勇事迹刊登在报纸上”这句话中“报纸”与下列哪个词具有上下位关系？,湖南卫视,纸巾,中国日报,浙江卫视,C
“现在服装款式多种多样”这句话中“服装”与下列哪个词具有近义关系？,帽子,杯盖,行头,头饰,C
“没有水和空气，任何生物都不能生存。”这句话中“生物”与下列哪个词具有上下位关系？,保护色,可爱,动物,物竞天择,C
“植物生长需要阳光、水分和空气。”这句话中“植物”与下列哪个词具有上下位关系？,植树,花,动物,蚂蚁,B
“太极拳是老年人喜爱的体育活动。”这句话中“体育”与下列哪个词具有上下位关系？,体育课,乒乓球,奥运会,火炬,B
“阳台上都是些堆放杂乱的旧报纸”这句话中“报纸”与下列哪个词具有上下位关系？,人民日报,电脑,手机,媒体,A
“笔就是学生的武器”这句话中“笔”与下列哪个词具有上下位关系？,铅笔,鼠标,尺子,橡皮,A
“报纸可以拿来擦玻璃。”这句话中“报纸”与下列哪个词具有上下位关系？,火箭,邮票,光明日报,雨伞,C
“人生匆匆如烟云，欣逢晚年好光景，经常活动健身体，昼养生更要紧。”这句话中“光景”与下列哪个词具有近义关系？,情景,回复,远景,风景,A
“我这么生气你是看不出来吗”这句话中“生气”与下列哪个词具有反义关系？,心虚,情绪,心绪,开心,D
“参加体育活动增强体力。”这句话中“体育”与下列哪个词具有上下位关系？,排球,拍打,中位线,排练,A
“文房四宝包括笔墨纸砚”这句话中“笔”与下列哪个词具有上下位关系？,橡皮,水笔,订书机,水杯,B
“海洋中有成千上万种生物。”这句话中“生物”与下列哪个词具有上下位关系？,植物,接种,嫁接,植树,A
“不与人分吃食物不同喝饮料不舔食厨具”这句话中“厨具”与下列哪个词具有上下位关系？,吃饭,筷子,放下,夹取,B
“风铃一被吹动，就叮当作响，好听极了。”这句话中“作”与下列哪个词具有反义关系？,息,安,新,做,A
“儿科专科学院说治疗开始的越早越好。”这句话中“儿科”与下列哪个词具有上下位关系？,排队,牙齿,小儿泌尿外科,机能,C
“学校教育不能只偏重智育而忽视体育。”这句话中“体育”与下列哪个词具有上下位关系？,棒子,棒球,球鞋,体检,B
“病毒有很多种类”这句话中“病毒”与下列哪个词具有上下位关系？,小球藻,轮状病毒,支原体,衣藻,B
“随着计算机的更新换代，功能越来越齐全”这句话中“计算机”与下列哪个词具有上下位关系？,小型计算机,充电宝,电脑,手机,A
“报纸上刊登着各地的新闻”这句话中“报纸”与下列哪个词具有上下位关系？,阿里巴巴,解放军报,江苏卫视,旋转木马,B
“植物的根把吸收的养分输送到枝叶上去。”这句话中“植物”与下列哪个词具有上下位关系？,秋收,高超,枯黄,金黄,B
“这是一款新型计算机”这句话中“计算机”与下列哪个词具有上下位关系？,键盘,书本,个人计算机,鼠标,C
“壮族人民的服饰具有鲜明的民族特色”这句话中“服饰”与下列哪个词具有近义关系？,耳饰,头饰,首饰,衣装,D
“如果你再不停手，我们将对你进行强行管制。”这句话中“管制”与下列哪个词具有反义关系？,惋惜,眼睛,束缚,处理,B
“村里的祖坟按照族规矩排列，每一辈人都在同一排。”这句话中“规矩”与下列哪个词具有上下位关系？,班规,规律,圆规,其曲中规,A
“我弟弟是个瘦子。”这句话中“瘦”与下列哪个词具有反义关系？,胖,瘦状,胖墩儿,胖肆,A
“运动会的日期，还没有最后确定下来。”这句话中“运动”与下列哪个词具有上下位关系？,跳升,跳伞,跳落,跳龙门,B
“一百例如牙龈增生患者，可采用牙龈切除术和牙龈成形术，切除肥大的牙龈，恢复正常的牙龈形态。”这句话中“牙龈”与下列哪个词具有整体部分关系？,牙膏,牙轮,牙龈线,牙印,C
“疏松的染色质区带主要位于细胞核的中心部。”这句话中“细胞核”与下列哪个词具有整体部分关系？,基因,基于,核基质,基岩,C
“鼻孔像两个枪口，鼻粱骨折断了，活像一副鞍架。”这句话中“鼻孔”与下列哪个词具有整体部分关系？,气味,吐丝,呼气,鼻子,D
“在婴儿生下来的最初几个月，婴儿肠壁渗透性相当强”这句话中“肠壁”与下列哪个词具有整体部分关系？,墙壁,离经,吸附,黏住,B
“外因总是通过内因起作用的，要找到自我原因。”这句话中“内因”与下列哪个词具有反义关系？,因为,外因,内涵,外汇,B
“春天到了，阳光明媚，一阵清风拂过，路边上各种不知名的种子冒出了嫩芽，到处生机勃勃，一片生机盎然。”这句话中“生机盎然”与下列哪个词具有近义关系？,意兴盎然,薄饼,欣欣向荣,兴趣盎然,C
“做事太冲动急功近利反而容易出错，有时会惹出一箩筐的笑话”这句话中“急功近利”与下列哪个词具有反义关系？,淡泊名利,大吉大利,利欲熏心,唯利是图,A
“这件衣服的面料采用公司最新的科技非常柔软舒适。”这句话中“衣服”与下列哪个词具有上下位关系？,帽子,裤子,服务,羽绒服,D
“小明在考试前仔细地复习了一遍课本，以确保自己能取得好成绩。”这句话中“仔细”与下列哪个词具有反义关系？,疏忽,草率,粗糙,马虎,D
“过去人们以为地球是扁的。”这句话中“地球”与下列哪个词具有整体部分关系？,太阳,地核,星际,黑洞,B
“随着社会信息化的发展，用户对移动信息化的需求与日俱增。”这句话中“与日俱增”与下列哪个词具有反义关系？,具有,减员,员工,年代,B
“在面对紧急情况时，他沉着冷静地应对，没有惊慌失措，最终成功地解决了问题。”这句话中“沉着”与下列哪个词具有反义关系？,惊慌失措,镇定,冷淡,平静,A
“人类的排泄物包括尿液和粪便。”这句话中“排泄物”与下列哪个词具有上下位关系？,空气,水源,食物,粪便,D
“当满月来临，当满月来临，她低声细语。”这句话中“低声”与下列哪个词具有反义关系？,高声,安静,喧闹,嘈杂,A
“啊哈，有人知道底细！”这句话中“底细”与下列哪个词具有近义关系？,详覆,详一,详刑,详情,D
“相对生物量指数和相对密度的优势种分别为中国枪乌贼和发光鲷。”这句话中“乌贼”与下列哪个词具有近义关系？,鲫鱼,出门,黑鱼,乌龟,B
“稚童们手牵手，欢快地跳着舞蹈。”这句话中“稚童”与下列哪个词具有近义关系？,老人,少年儿童,童年,成人,B
“花生油是一种常见的植物油，以其独特的香味和适宜的炒菜性质而备受喜爱。”这句话中“植物油”与下列哪个词具有上下位关系？,花生油,牛油,猪油,奶油,A
“他明明做错了，还百般抵赖！”这句话中“百般”与下列哪个词具有近义关系？,百骁,模糊,各种,百壹,C
“这条船是作为游艇建造的。”这句话中“船”与下列哪个词具有整体部分关系？,船体,船员,乘船,航行,A
“沙漠地区的动植物都稀少。”这句话中“植物”与下列哪个词具有上下位关系？,氧气,有机,环保,蔬菜,D
“农场里的猪享受着悠闲的生活，晒着太阳、打滚泥巴，快乐地度过每一天。”这句话中“猪”与下列哪个词具有上下位关系？,老虎,狮子,狗子,家畜,D
“你不应该放一根棉签或其他物体到耳道之中。”这句话中“棉签”与下列哪个词具有整体部分关系？,棉被,棉头,棉袄,棉衣,B
“火车因铁轨结冰而误点。”这句话中“铁轨”与下列哪个词具有整体部分关系？,轨迹,道路,运动轨迹,轨枕,D
“化妆品并不能掩盖先天缺陷。”这句话中“化妆品”与下列哪个词具有上下位关系？,汗液,明珠,液化气,粉底液,D
“你还要多久才能写完作业？”这句话中“多久”与下列哪个词具有近义关系？,多事,多数,多长时间,多少,C
“五味子属植物是我国传统的中药材。”这句话中“中药材”与下列哪个词具有上下位关系？,药渣,泻药,膏药,枸杞,D
“她的诗超凡脱俗，高出侪辈许多”这句话中“脱俗”与下列哪个词具有近义关系？,脱节,脱发,超越,超凡,D
“我们谴责美国政府干涉我国内政的行为。”这句话中“美国”与下列哪个词具有上下位关系？,国家,假装,夏威夷,旧金山,A
“通常硬盘安装在主机箱内，因此它于主存储器。”这句话中“存储器”与下列哪个词具有整体部分关系？,计算,算法,计算机,算盘,C
“泰山是五岳之首，许多文人墨客在这里留下了经典的诗篇。”这句话中“经典”与下列哪个词具有反义关系？,模范,典范,庸俗,平庸,D
“美国人最爱陪客人看富人区，好似观光。”这句话中“富人区”与下列哪个词具有反义关系？,贫民窟,人民,富裕,小区,A
“虽然他的稚气未脱，但他已经开始懂得处理职场上的各种问题。”这句话中“稚气未脱”与下列哪个词具有反义关系？,老于世故,稚嫩,老者,稚童,A
“公园里的花有一种淡雅的清香。”这句话中“花”与下列哪个词具有整体部分关系？,果实,核能,土壤,花柄,D
“这个横行不法的大盗，终于被捉拿归案，真是天网恢恢，疏而不漏。”这句话中“捉拿归案”与下列哪个词具有近义关系？,逃匿,拘捕,逃亡,逃跑,B
“纵令前方困难重重，我们也要坚定地走下去。”这句话中“纵令”与下列哪个词具有近义关系？,下令,吉兆,然后,纵然,D
“他们在浪漫的海滩上喜结连理，宣布定婚的消息。”这句话中“喜结连理”与下列哪个词具有上下位关系？,浪漫,心胸狭窄,宣布,海滩,B
“这艘船将从下水驶向上水，途中的风景和气象都将发生变化。”这句话中“下水”与下列哪个词具有反义关系？,水下,水中,上水,水面,C
“回答正确无误。”这句话中“无误”与下列哪个词具有近义关系？,无关,高度,高精度,度量,C
“他用娴熟的技巧弹奏着钢琴，音乐的旋律在整个音乐厅中”这句话中“弹奏”与下列哪个词具有近义关系？,跳舞,买家,话剧,上奏,B
“这是水果栽培区。”这句话中“栽培”与下列哪个词具有近义关系？,保养,种植,养护,爱护,B
“吸尘器是一种方便有效的家电，可以帮助我们清理地板和家具上的灰尘和杂物。”这句话中“吸尘器”与下列哪个词具有上下位关系？,簸箕,能力,扫地机器人,打扫,C
“一种颗粒过滤器滤筒，具有环绕穿孔的支撑管的织造金属纤维过滤器介质。”这句话中“过滤器”与下列哪个词具有整体部分关系？,空调,加工,制冷,器件,A
“十二指肠成人长度为20〜25cm，管径4〜5cm。”这句话中“十二指肠”与下列哪个词具有整体部分关系？,小路,小肠,空肠,回肠,B
“他的公司在股市中亏了很多钱，而他的朋友却赚了一大笔利润。”这句话中“亏”与下列哪个词具有反义关系？,公司,行动,利润,股市,B
“穿上妈妈做的衣服，觉得挺舒服的。”这句话中“衣服”与下列哪个词具有整体部分关系？,摆动,果盘,摆设,摆脱,B
“心好像一扇厚重的城堡之门，没有外面的锁，只有里面的闩，别人在外面怎么使劲踹，也不如里面的人自己轻轻一拨。”这句话中“厚重”与下列哪个词具有反义关系？,薄饼,钢铁,轻松,轻度,B
“采用计算机方法是有益的。”这句话中“计算机”与下列哪个词具有整体部分关系？,控制器,眼霜,触电,物件,A
“国家严禁猎捕杀害珍稀野生动物，违者将受到法律制裁。”这句话中“动物”与下列哪个词具有上下位关系？,生命,两栖动物,植物,动作,B
“回归故里的念头在他心里酝酿了很久，今天终于实现了。”这句话中“回归”与下列哪个词具有反义关系？,流离,愚昧,逃离,距离,C
“美学是研究美和审美经验的学科，探讨艺术、美感以及美的本质和价值，帮助我们更好地理解和欣赏美的存在。”这句话中“学科”与下列哪个词具有上下位关系？,作答,美学,思考,计算,B
“狮子和老虎都是凶猛的野兽。”这句话中“狮子”与下列哪个词具有上下位关系？,舞狮,狮吼,狮子头,动物,D
“他的律师提请撤销所有指控。”这句话中“提请”与下列哪个词具有近义关系？,请奉,请君入瓮,请命,请蕲,C
“国家严禁猎捕杀害珍稀野生动物，违者将受到法律制裁。”这句话中“国家”与下列哪个词具有上下位关系？,曼谷,威尼斯,印度,北京,C
“我很喜欢宁夏的美丽风景和丰富的文化遗产。”这句话中“宁夏”与下列哪个词具有近义关系？,厦门,闽侯,宁,中国,C
“会议组织者将全部会议文件结集，编写了一本厚达750页的大册子。”这句话中“结集”与下列哪个词具有反义关系？,遣散,散慢,散失,散步,A
“我对中国发展成就感到十分倾倒”这句话中“倾倒”与下列哪个词具有近义关系？,欣赏,佩服,倒斜,信服,B
“刘备是一个非常有志向的一个人”这句话中“刘备”与下列哪个词具有近义关系？,吕布,汉昭烈帝,张飞,关羽,B
“我买了一张门票，准备去参观博物馆。”这句话中“门票”与下列哪个词具有近义关系？,门槛,入场券,大门,看门,B
“不需要论文和软件。”这句话中“论文”与下列哪个词具有整体部分关系？,正文,鸾文,显文,语文,A
“她的动作很自然。”这句话中“自然”与下列哪个词具有反义关系？,生存,生活,生产,生硬,D
“混不混，孬不孬，是我们的事。”这句话中“孬”与下列哪个词具有近义关系？,坏,优秀,优点,优劣,A
“我喜欢在花园里种植植物，观察它们生长的过程。”这句话中“植物”与下列哪个词具有上下位关系？,生物圈,长度,物种,蕨类植物,D
“中餐在国外很受欢迎”这句话中“中餐”与下列哪个词具有上下位关系？,手表,电脑,衣服,伙食,D
“银杏叶提取物治疗肺间质纤维化的临床研究。”这句话中“肺间质”与下列哪个词具有整体部分关系？,屏障,肺组织,气体,间隔,B
“教育局又给我校拨款购置教学设备。”这句话中“购置”与下列哪个词具有反义关系？,变数,变卖,变卦,买卖,B
“这个杯子摔在地上居然完整无缺。”这句话中“杯子”与下列哪个词具有上下位关系？,杯刷,吸管杯,盖子,杯垫,B
“受蒙骗的人在事实的教育下终于清醒了。”这句话中“清醒”与下列哪个词具有反义关系？,模糊,糊涂,明确,清晰,B
“这个小船行驶的方向正是家的方向”这句话中“小船”与下列哪个词具有近义关系？,扁舟,汽车,潜艇,游艇,A
“用力一扔，石块脱手飞出去。”这句话中“脱手”与下列哪个词具有反义关系？,出手,锻炼,开脱,紧握,D
“今年是个丰年，这里村子里农民们收获了丰收的果实。”这句话中“丰年”与下列哪个词具有反义关系？,果实,村子,农民,歉年,D
“玄武湖中云光岚影倒映、鱼跃鸢飞。”这句话中“云”与下列哪个词具有上下位关系？,云烟,云腿,云南,乌云,D
“部长们退席去作决定。”这句话中“部长”与下列哪个词具有上下位关系？,事务部长,部照,部阵,部领,A
“中间的果核是最微妙的。”这句话中“果核”与下列哪个词具有整体部分关系？,水果,兵卒,核心,核能,A
“当心那块踏板，它松开了。”这句话中“踏板”与下列哪个词具有整体部分关系？,自行车,后退,停止,前进,A
“在大多数情况下，它可能是心室颤动导致突如其来的死于恐惧。”这句话中“心室”与下列哪个词具有整体部分关系？,心脏,灯光,心愿,心跳,A
“虽然我们不常见面，但希望你一切安好”这句话中“安好”与下列哪个词具有反义关系？,发展,经济,世界,危及,D
“雨花，摆在涉雨的肩膀洗却手臂的冷雨”这句话中“雨”与下列哪个词具有上下位关系？,雨鞋,雨水,雨燕,雨伞,B
“她总是感到自卑，缺乏自信的表现使她无法展现真正的实力和才华。”这句话中“自卑”与下列哪个词具有上下位关系？,心态,忽视,喜欢,讨厌,A
“跖骨骨折并发足骨筋膜室综合征的临床治疗。”这句话中“跖骨”与下列哪个词具有整体部分关系？,骨牌,洒水,尸骨,脚,D
“她在宫廷中失宠”这句话中“失宠”与下列哪个词具有反义关系？,失败,感受,宠物,受宠,D
“这支部队在战场上屡战屡胜，受到将军的夸赞。”这句话中“夸赞”与下列哪个词具有反义关系？,宽恕,斥责,发配,责任,B
“储量是指在地下或其他储存介质中的可利用资源的数量，如石油、天然气或矿产等。”这句话中“数量”与下列哪个词具有上下位关系？,收藏,储存,囤积,储量,D
“他每次遇见事情都是这么的沉着”这句话中“沉着”与下列哪个词具有反义关系？,恐怕,咸,担心,沉浸,B
“你觉得有疑问吗？”这句话中“疑问”与下列哪个词具有反义关系？,确诊,确固不拔,确讯,确定,D
“我的祖父很顽固，他认为女性在社会上做事，是牝鸡司晨。”这句话中“顽固”与下列哪个词具有反义关系？,稳重,活泼,勇敢,随和,D
“现在高档商品越来越多。”这句话中“高档”与下列哪个词具有反义关系？,低落,看见,低敛,中低档,D
“大门还没有开，同学们在门外谈笑风生，大门一开，他们有序地进入校门。”这句话中“有序”与下列哪个词具有反义关系？,平静,排队,秩序,无序,D
“他遭遇失败后，心中充满了失落感，仿佛一切希望都被抹灭了。”这句话中“失落”与下列哪个词具有上下位关系？,游戏,青铜,玩耍,嬉戏,B
“她具有媚人的风姿。”这句话中“风姿”与下列哪个词具有近义关系？,姿质,风光,风韵,舞姿,C
“在古代，八股文是一种被广泛使用的文体，用于考试和文学创作。”这句话中“文体”与下列哪个词具有上下位关系？,体育,八股文,八卦,文明,B
“玻璃体混浊的特点是跟随眼球运动而活动。”这句话中“玻璃体”与下列哪个词具有整体部分关系？,球形,体格,眼球,玻璃,C
“这把椅子的椅背设计得非常人性化，能够提供良好的支撑。”这句话中“椅子”与下列哪个词具有整体部分关系？,背带,簿籍,背枕,扶手,B
“这是一座终年积雪的高山。”这句话中“终年”与下列哪个词具有反义关系？,终点,算盘,终于,偶遇,B
“骄傲是断了引线的风筝稍纵即逝。”这句话中“风筝”与下列哪个词具有近义关系？,鸳鸯,紫鸢,风向,风速,B
“古时读书人多是文武全才，奔驰沙场能英勇杀敌，撰作诗文则倚马可待，足为我们的典范。”这句话中“文武全才”与下列哪个词具有反义关系？,才能,势力,弱智,弱小,C
“这个药很管事儿，保你吃了见好。”这句话中“管事”与下列哪个词具有反义关系？,任用,中国,选用,无用,D
“他得摆好戴著月桂花冠的姿势”这句话中“花冠”与下列哪个词具有整体部分关系？,冠军,花,万花筒,花花世界,B
“他整日沉浸在烦闷之中，无法找到生活的乐趣和动力。”这句话中“烦闷”与下列哪个词具有上下位关系？,心情,胜利,伸展,落败,A
“这样可防止机翼结冰。”这句话中“机翼”与下列哪个词具有整体部分关系？,飞机,小鸟,天空,跳伞,A
“由于内斗的激烈程度不断升级，该政党内部出现了严重的分裂和对立。”这句话中“内斗”与下列哪个词具有近义关系？,斗争,有用,被窝,窝里斗,D
“猎豹短跑的速度是陆地上任何哺乳动物都望尘莫及的。”这句话中“哺乳动物”与下列哪个词具有上下位关系？,蛇,蚂蚁,鲨鱼,大象,D
“各级干部要多听听群众的呼声。”这句话中“呼声”与下列哪个词具有近义关系？,回声,可恶,意见,和声,C
“他力气大得能独自搬起钢琴。”这句话中“钢琴”与下列哪个词具有整体部分关系？,音波,音色,音量,外壳,D
“热带雨林中有很多稀奇古怪的动物。”这句话中“古怪”与下列哪个词具有反义关系？,稀奇,普信,通病,普通,D
“我已经获得了硕士学位。”这句话中“学位”与下列哪个词具有上下位关系？,硕大,幼儿园,初中生,硕士,D
“我真想用手卡住他的喉咙。”这句话中“喉咙”与下列哪个词具有整体部分关系？,沙哑,棉花,呼吸道,吞咽,C
“总而言之，每个解决方法都有其优缺点。”这句话中“优缺点”与下列哪个词具有整体部分关系？,作弊,缺乏,弊,终点,C
“经过紧急抢救，病人从昏迷中清醒过来了。”这句话中“昏迷”与下列哪个词具有反义关系？,清醒,迷雾,清单,清楚,A
“译着译着，就会不自觉地往华丽的路子上去铺陈。”这句话中“铺陈”与下列哪个词具有近义关系？,陈述,放任,陈列,勾陈,C
“桃木剑是一种传统的符咒道具，相传有辟邪、驱鬼的作用，在道教和民间信仰中被广泛应用。”这句话中“桃木剑”与下列哪个词具有上下位关系？,法器,权威,迷信,科学,A
“我赶快完成了作业。”这句话中“赶快”与下列哪个词具有近义关系？,赶紧,紧张,快乐,赶海,A
“在危机面前，他表现得非常沉着冷静。”这句话中“沉着”与下列哪个词具有反义关系？,慌乱,燥热,幽静,寂静,A
“这麻布容易沾污。”这句话中“麻布”与下列哪个词具有上下位关系？,缫丝,纺织,抹布,布料,D
“执政为民是我们一切工作的出发点和落脚点。”这句话中“执政”与下列哪个词具有反义关系？,下台,管理,田野,政治,A
“我喜欢吃水果，特别是苹果和香蕉。”这句话中“水果”与下列哪个词具有近义关系？,果农,相同,生果,果汁,C
“我们不仅应该尊重他人，就连动物也应该尊重。”这句话中“动物”与下列哪个词具有上下位关系？,鱼类,水,空气,白云,A
“我在书桌上放了一盏台灯，让我能够在晚上舒适地阅读。”这句话中“台灯”与下列哪个词具有整体部分关系？,灯泡,黏性,灯火,灯光,A
“我在音乐学校，胡老师学习了多种弦乐器，其中包括二胡我很喜欢”这句话中“弦乐器”与下列哪个词具有上下位关系？,老师,喜欢,二胡,音乐学校,C
“失去的总会以另外一种方式得到”这句话中“失去”与下列哪个词具有反义关系？,得到,寂静,难过,失望,A
“公司将在年底挂牌营业。”这句话中“挂牌”与下列哪个词具有反义关系？,歇业,销售,上岗,出售,A
“也说胳膊扭不过大腿。”这句话中“大腿”与下列哪个词具有整体部分关系？,跑步,行走,腿,大小,C
“已经更深人静，她还在灯下读书。”这句话中“灯”与下列哪个词具有上下位关系？,绿灯,生育,灯火,灯罩,A
“这次对目标阵地的炮击给了敌军沉重的打击”这句话中“沉重”与下列哪个词具有反义关系？,沉闷,轻盈,下沉,重心,B
“知道我真正的家是净土。”这句话中“净土”与下列哪个词具有反义关系？,坎土镘,秽土,土元,土盎,B
“他是个非常糊涂的人，总是忘记自己的事情，让我们不得不帮他善后。”这句话中“糊涂”与下列哪个词具有反义关系？,理解,座位,明确,明白,D
“感谢您的到来。”这句话中“到来”与下列哪个词具有反义关系？,离观,红色,离割,离去,D
“我的轮胎爆掉了。”这句话中“轮胎”与下列哪个词具有整体部分关系？,中心轴,诉说,轴线,轮组,D
“袒露你的恐惧。”这句话中“恐惧”与下列哪个词具有近义关系？,害怕,怕不待,怕羞,怕事,A
“他处处从中作梗。”这句话中“从中”与下列哪个词具有近义关系？,排中律,之中,夏中,心中有数,B
“我家有患心脏病的家族病史。”这句话中“心脏”与下列哪个词具有整体部分关系？,背包,心包,包裹,包容,B
“太阳是一个自身可以发光发热的天体，体积必须要有130个地球才能抵得上一个太阳。太阳里面和外面都是熊熊的大火，火舌高达几万到几十万千米。它离地球很远很远，大约有1.5亿千米。”这句话中“天体”与下列哪个词具有上下位关系？,宇宙飞船,愚笨,宇航员,星辰,B
“工作量是指在一定时间内完成的工作任务的数量或程度，通常用来评估工作的难度和所需的努力程度。”这句话中“数量”与下列哪个词具有上下位关系？,午休,丘陵,上班,工作量,D
“普通车床由若干部件组成。”这句话中“床”与下列哪个词具有整体部分关系？,床单,枕头,床头,被子,C
“中元节在我们国家传统节日中俗称的鬼节”这句话中“节日”与下列哪个词具有上下位关系？,传统,中元节,国家,鬼节,B
“数字化信息如不注意其数据的存储备份，一旦发生数据丢失、损坏等意外事故，其后果是不堪设想的。”这句话中“存储”与下列哪个词具有反义关系？,费用,存在,费力,花费,D
“今年夏天的雨量很丰沛。”这句话中“丰沛”与下列哪个词具有近义关系？,侧足,住宅,延迟满足,充足,D
“他那样子太招摇。”这句话中“招摇”与下列哪个词具有近义关系？,自卑,自傲,肆无忌惮,摇手,C
“永不再穿凉鞋？”这句话中“鞋”与下列哪个词具有上下位关系？,鞋柜,鞋篮,鞋面,皮鞋,D
“在比赛的最后时刻，他奋力冲刺，最终率先到达了终点。”这句话中“奋力”与下列哪个词具有近义关系？,力量,漏气,全力,奋发,C
