prompt,对象,状态,颜色,数量,位置,绘画风格,文化风格,手部,五官,性别,反常识
戴着透明面纱的美丽女子，浮世绘,"('面纱', '女子')",0,0,0,1,1,0,0,2,1,0
灯光点缀下的一个精致的小商店，蒸汽朋克,"('灯光', '商店')",0,0,1,1,0,1,0,0,0,0
灯光下的两碗扬州炒饭，水彩画,"('灯光', '炒饭')",0,0,1,1,1,1,0,0,0,0
地球上挂满了未来庆祝传统中国节日的庆祝用品，科幻风格,"('地球', '中国节日', '庆祝用品')",0,0,0,1,0,1,0,0,0,0
电影里细节十分细致的西方龙,"('电影', '龙')",0,0,0,0,0,1,0,0,0,0
电子游戏中巨大的照明灯，水彩画,"('电子游戏', '灯')",0,0,0,1,1,0,0,0,0,0
叼着树枝的小蓝鸟,"('树枝', '鸟')",0,1,0,1,0,0,0,0,0,0
凋零的厨房,"('厨房',)",0,0,0,0,0,0,0,0,0,2
吊扇在卧室,"('吊扇', '卧室')",0,0,0,1,0,0,0,0,0,0
动物种类丰富的地球，卡通画风格,"('动物', '种类', '地球')",0,0,0,0,1,0,0,0,0,0
二次元，完美的烤鸭,"('烤鸭',)",0,0,0,0,0,1,0,0,0,0
二次元风格的美丽的街景,"('街景',)",0,0,0,0,0,1,0,0,0,0
发光的潮汐,"('潮汐',)",0,1,0,0,0,0,0,0,0,2
发光的红眼，浮世绘,"('眼',)",0,1,0,0,1,0,0,0,0,0
发蓝色光的猪,"('猪', '光')",1,1,0,0,0,0,0,0,0,2
反射着太阳光的消防栓,"('太阳光', '消防栓')",1,0,0,0,0,0,0,0,0,0
房子一叠书上面的老式手机，写实风格,"('房子', '书', '手机')",0,0,1,1,1,1,0,0,0,0
放在窗台上的闹钟,"('窗台', '闹钟')",0,0,0,1,0,0,0,0,0,0
放在桌子上的白色的手机,"('桌子', '手机')",0,1,0,1,0,0,0,0,0,0
放在桌子上的精致的眼镜,"('桌子', '眼镜')",0,0,0,1,0,0,0,0,0,0
废弃停车场里三辆车竖着叠在一起，超现实主义,"('停车场', '车')",1,0,1,1,0,1,0,0,0,0
浮世绘风格的精致的鞋,"('鞋',)",0,0,0,0,1,0,0,0,0,0
钢笔画，一棵饱满的青椒,"('青椒', '钢笔画')",0,0,1,0,1,0,0,0,0,0
高大雄伟的蜗牛人，皮克斯风格,"('蜗牛人',)",0,0,0,0,1,0,0,2,0,2
高分辨率的积木做的墙,"('积木', '墙')",0,0,0,0,0,0,0,0,0,0
高精度的西方城堡,"('城堡',)",0,0,0,0,0,1,0,0,0,0
高精度的章鱼,"('章鱼',)",0,0,0,0,0,0,0,0,0,2
高山上白皙的瀑布,"('高山', '瀑布')",0,1,0,1,0,0,0,0,0,2
古朴的松鼠伸手,"('松鼠',)",1,0,0,0,0,0,0,0,0,2
故宫中可爱的孩子，吉卜力,"('故宫', '孩子')",0,0,0,1,1,0,0,2,0,0
孩子手中的压岁钱,"('孩子', '手', '钱')",0,0,0,1,0,0,2,2,0,0
黑暗的森林的地上有一个开着手电筒,"('森林', '地', '手电筒')",0,1,1,1,0,0,0,0,0,0
黑色皮肤的肌肉,"('皮肤', '肌肉')",0,1,0,0,0,0,0,0,0,0
红色的乐高积木拼成的可爱的机器人,"('乐高积木', '机器人')",0,1,0,0,0,0,0,0,0,0
宏大场景的筷子,"('筷子', '场景')",0,0,0,0,0,0,0,0,0,0
宏伟城墙下的一群工作中的机器人,"('城墙', '机器人')",1,0,1,1,0,0,0,0,0,0
宏伟的埃及金字塔，中国风画作,"('金字塔',)",0,0,0,0,1,1,0,0,0,0
湖泊上有个可爱的青蛙,"('湖泊', '青蛙')",0,0,1,1,0,0,0,0,0,0
花纹复杂的手机壳，朋克风格,"('花纹', '手机壳')",0,0,0,0,0,1,0,0,0,0
花纹华丽的海螺，写实,"('花纹', '海螺')",0,0,0,0,1,0,0,0,0,0
花纹华丽的小鱼从水面跃出，水面有波纹,"('花纹', '鱼', '水面', '波纹')",1,0,0,1,0,0,0,0,0,0
花纹精美的碗，水彩画,"('碗', '花纹')",0,0,0,0,1,0,0,0,0,0
花园里里的风景非常迷人，幻想风,"('花园', '风景')",0,0,0,1,1,0,0,0,0,0
幻想风格的飞龙在天空中飞翔,"('飞龙', '天空')",1,0,0,1,1,0,0,0,0,0
幻想风格的熊猫的肖像画,"('熊猫', '肖像画')",0,0,0,0,1,0,0,0,0,0
幻想风给的一个清晰可见的光斑,"('光斑',)",0,0,1,0,1,0,0,0,0,0
黄色的斗篷,"('斗篷',)",0,1,0,0,0,0,0,0,0,0
火山上飘落的灰尘，中国风,"('火山', '灰尘')",1,0,0,1,0,1,0,0,0,0
极具真实感的复杂的老人肖像,"('老人', '肖像')",0,0,0,0,0,0,0,2,0,0
纪录片里的巨大的长颈鹿,"('纪录片', '长颈鹿')",0,0,0,1,0,0,0,0,0,0
脚上穿着古朴的运动鞋的男孩,"('脚', '鞋', '男孩')",0,0,0,1,0,0,0,2,2,0
金属外包装里的两个包子，朋克风格,"('外包装', '包子')",0,0,1,1,0,1,0,0,0,2
精美的剪纸油画,"('剪纸',)",0,0,0,0,1,0,0,0,0,0
精美的手机壳，高分辨率,"('手机壳',)",0,0,0,0,0,0,0,0,0,0
精美的小企鹅挂件，国画风格,"('企鹅挂件',)",0,0,0,0,1,0,0,0,0,0
精致的北京烤鸭,"('烤鸭',)",0,0,0,0,0,1,0,0,0,0
精致的老式灯塔模型,"('灯塔模型',)",0,0,0,0,0,1,0,0,0,0
精致的欧式挂钟,"('挂钟',)",0,0,0,0,0,1,0,0,0,0
精致的圣诞树，出自吉卜力,"('圣诞树',)",0,0,0,0,1,0,0,0,0,0
精致的现代城市模型，卡通画风格,"('城市模型',)",0,0,0,0,1,1,0,0,0,0
精致的香蕉素描画,"('香蕉', '素描画')",0,0,0,0,0,0,0,0,0,0
精致的炸酱面,"('面',)",0,0,0,0,0,0,0,0,0,2
巨大的机甲城市，虚幻引擎,"('机甲城市',)",0,0,0,0,0,0,0,0,0,0
绝世的中国风画作，内容是星空，充满光影效果，,"('画作', '星空', '光影')",0,0,0,0,1,1,0,0,0,0
军营里的战旗，浮世绘,"('军营', '战旗')",0,0,0,1,1,0,0,0,0,0
可爱的Q版小恐龙，吉卜力出品,"('小恐龙',)",0,0,0,0,1,0,0,0,0,0
可爱的黄色鳄梨,"('鳄梨',)",0,1,0,0,0,0,0,0,0,2
可爱的眼镜,"('眼镜',)",0,0,0,0,0,0,0,0,0,0
客厅里放着唯美的椅子,"('客厅', '椅子')",0,0,0,1,0,0,0,0,0,2
客厅里挂着一幅描绘山水的画，巴洛克风格,"('客厅', '画')",0,0,1,1,0,1,0,0,0,0
蓝色的长裙散发着微光，中国画,"('长裙', '微光')",1,1,0,0,1,0,0,0,0,0
蓝天的远处飘着一朵斑驳的巨大的灰云，顶级刻画,"('天', '云')",0,1,1,1,1,0,0,0,0,0
浪漫的粉色海盗船,"('海盗船',)",0,1,0,0,0,0,0,0,0,0
浪漫的粉色码头,"('码头',)",0,1,0,0,0,0,0,0,0,0
浪漫的情人节礼物,"('礼物',)",0,0,0,0,0,0,0,0,0,0
老旧的木柱，上面有许多小孔，宫崎骏出品,"('木柱', '孔')",0,0,1,1,1,0,0,0,0,0
炼制药水的女巫手中捧着一本书，出自宫崎骏,"('药水', '女巫', '书', '手')",0,0,1,1,1,0,2,2,1,0
两杯鸡尾酒摆在凌乱的桌子上，浮世绘,"('鸡尾酒', '桌子')",0,0,1,1,1,0,0,0,0,0
两个女孩，长发的那个女孩戴着一顶高高的王冠，巴洛克艺术,"('女孩', '长发', '王冠')",0,0,1,1,0,1,0,2,1,0
两个全身发亮的狮子,"('狮子',)",0,2,1,0,0,0,0,0,0,2
两个人在室外，较高的那个人穿着西服，拿着一把高科技的伞，未来主义,"('人', '室外', '西服', '伞')",0,0,1,1,0,1,2,2,0,0
两个散发着魅力的卷发的男子,"('卷发', '男子')",1,0,1,0,0,0,0,2,2,0
两个陷入昏迷的少女，顶级刻画,"('少女',)",1,0,1,0,1,0,0,2,1,0
两颗闪闪发亮的珍珠，出自吉卜力,"('珍珠',)",0,1,1,0,1,0,0,0,0,0
两列相向而行的火车,"('火车',)",1,0,1,1,0,0,0,0,0,0
两束让人喜爱的鲜花,"('鲜花',)",0,0,1,0,0,0,0,0,0,0
两台精致的太空电梯,"('太空电梯',)",0,0,1,0,0,0,0,0,0,0
两只花纹很复杂的猫，精致细节,"('花纹', '猫')",0,0,1,0,0,0,0,0,0,0
两座完美的荷兰塔楼,"('塔楼',)",0,0,1,0,0,1,0,0,0,0
凌乱的街道上有三个行人,"('街道', '人')",0,0,1,1,0,0,0,2,0,0
凌乱的头发,"('头发',)",0,0,0,0,0,0,0,0,0,0
令人惊喜的庭院,"('庭院',)",0,0,0,0,0,0,0,0,0,0
龙卷风下一个勇敢向前的修理工人，流行于pixiv,"('龙卷风', '工人')",1,0,1,1,1,0,0,2,0,0
绿色的荷叶,"('荷叶',)",0,1,0,0,0,0,0,0,0,0
绿色的清晰的珠宝,"('珠宝',)",0,1,0,0,0,0,0,0,0,0
绿色的史诗级海盗船,"('海盗船',)",0,1,0,0,0,0,0,0,0,0
绿色的一副耳机,"('耳机',)",0,1,1,0,0,0,0,0,0,0
毛发闪着绿光的狗，出自吴冠中,"('毛发', '狗')",1,1,0,0,1,0,0,0,0,2
冒着热气的一盘饺子在散发着黄色的亮光，超现实主义,"('热气', '饺子', '亮光')",1,1,1,0,0,1,0,0,0,2
美丽的裙子，丁达尔效应,"('裙子',)",0,0,0,0,0,0,0,0,0,0
美丽的鞋子，出自莫奈,"('鞋子',)",0,0,0,0,1,0,0,0,0,0
迷幻的彩色兵马俑,"('兵马俑',)",0,2,0,0,0,0,0,0,0,0
迷幻色彩的三片花瓣,"('花瓣',)",0,2,1,0,0,0,0,0,0,0
迷人的雕像，中世纪风格,"('雕像',)",0,0,0,0,0,1,0,0,0,0
模型小人头上逼真的发饰，赛博朋克风格,"('模型小人', '发饰', '头')",0,0,0,1,0,1,0,2,0,0
魔术师施展魔法向人们展示了远方清晰的风景，钢笔画,"('魔术师', '魔法', '人们', '风景')",1,0,0,0,1,0,0,2,0,0
拿着马克笔画画的孩子,"('孩子', '马克笔')",0,0,0,1,0,0,2,2,0,0
男孩穿着清透的短袖T恤，手上拿着水杯,"('男孩', 'T恤', '手', '水杯')",0,0,0,1,0,0,2,2,2,0
男人正在用烤面包机制作早餐，写实风格,"('男人', '烤面包机', '早餐')",1,0,0,0,1,0,2,2,2,0
男子穿着精美的传统中式服装，油画笔刷质感,"('男子', '服装')",0,0,0,1,1,1,0,2,2,0
男子的额头上戴着一个华丽的金属头巾，科幻风格,"('男子', '额头', '头巾')",0,0,1,1,0,1,0,2,2,0
男子手边完美的咖啡机,"('男子', '手', '咖啡机')",0,0,0,1,0,0,0,2,2,0
宁静的少女，手上拿着一朵花,"('少女', '手', '花')",0,0,1,1,0,0,2,2,1,0
女巫手中闪耀的魔法书,"('女巫', '手', '魔法书')",0,1,0,1,0,0,2,2,1,2
女子唯美的五官，插画,"('女子', '五官')",0,0,0,0,1,0,0,2,1,0
女子在棕色的木屋里祈祷,"('女子', '木屋')",1,1,0,1,0,0,0,2,1,0
朋克风格的玻璃彩绘,"('玻璃彩绘',)",0,0,0,0,0,1,0,0,0,0
啤酒瓶上画着一个迷人的少女，卡通画风格,"('瓶', '少女')",0,0,1,1,1,0,0,2,1,0
漂亮的兔子，油画风格,"('兔子',)",0,0,0,0,1,0,0,0,0,0
破碎的乌龟,"('乌龟',)",0,0,0,0,0,0,0,0,0,2
铅笔画，一个孩子，手上拿着手电筒,"('孩子', '手电筒', '手', '铅笔画')",0,0,1,1,1,0,2,2,0,0
墙上贴着的巨大的贴纸装饰,"('墙', '贴纸')",0,0,0,1,0,0,0,0,0,0
青山上山顶有一个湍急的瀑布，水彩画,"('青山', '山顶', '瀑布')",1,0,1,1,1,0,0,0,0,0
清澈平静的池塘，没有一点波纹，流行于pixiv,"('池塘', '波纹')",0,0,0,0,1,0,0,0,0,0
清晰的黄色木星,"('木星',)",0,1,0,0,0,0,0,0,0,0
清晰的螺丝起子,"('螺丝起子',)",0,0,0,0,0,0,0,0,0,0
日本风格的手机,"('手机',)",0,0,0,0,0,1,0,0,0,0
锐利的电钻，出自宫崎骏,"('电钻',)",0,0,0,0,1,0,0,0,0,0
锐利的蓝色运动衫,"('运动衫',)",0,1,0,0,0,0,0,0,0,2
锐利的青椒，浮世绘风格,"('青椒',)",0,0,0,0,1,0,0,0,0,2
赛博朋克风格的杯子里装着色彩鲜艳的橙汁,"('杯子', '橙汁')",0,2,0,1,0,1,0,0,0,0
三层的阶梯,"('阶梯',)",0,0,1,0,0,0,0,0,0,0
三个超凡脱俗的女孩,"('女孩',)",0,0,1,0,0,0,0,2,1,0
三个清透的灯笼,"('灯笼',)",0,0,1,0,0,0,0,0,0,0
散发着金色光芒的木星,"('木星', '光芒')",1,1,0,0,0,0,0,0,0,0
散发着危险气息的旷野，出自宫崎骏,"('气息', '旷野')",1,0,0,0,1,0,0,0,0,0
色彩饱和的贝壳，出自皮克斯动画,"('贝壳',)",0,2,0,0,1,0,0,0,0,0
色彩丰富的漫画书，二次元风格,"('书',)",0,2,0,0,0,1,0,0,0,0
色彩丰富的水晶，钢笔画,"('水晶',)",0,2,0,0,1,0,0,0,0,0
色彩丰富的长城，复古未来主义,"('长城',)",0,2,0,0,0,1,0,0,0,2
色泽红润的三颗樱桃，中国画,"('樱桃',)",0,1,1,0,1,0,0,0,0,0
山峰之上唯美的风景，有一个唐代诗人在一边饮酒,"('山峰', '风景', '诗人', '酒')",1,0,1,1,0,1,2,2,0,0
山林里正在觅食的大熊猫，线条艺术,"('山林', '熊猫')",1,0,0,1,1,0,0,0,0,0
山水画中跃出水面的海豚,"('山水画', '水面', '海豚')",1,0,0,1,0,0,0,0,0,0
闪闪发光的一堆黄金饰品，出自吴冠中,"('饰品',)",0,1,1,0,1,0,0,0,0,0
闪耀着光芒的眼睛,"('眼睛', '光芒')",0,2,0,0,0,0,0,0,0,2
闪着金色光芒的日落,"('光芒', '日落')",1,1,0,0,0,0,0,0,0,0
少女抓住了小提琴,"('少女', '小提琴')",0,0,0,1,0,0,2,2,1,0
深红色的红烧肉,"('红烧肉',)",0,1,0,0,0,0,0,0,0,0
时代广场上穿着牛仔裤的人,"('广场', '牛仔裤', '人')",0,0,0,1,0,0,0,2,0,0
时代广场上的人,"('广场', '人')",0,0,0,1,0,0,0,2,0,0
收到玫瑰花的机器少女露出了温柔的笑容，赛博朋克,"('玫瑰花', '机器少女', '笑容')",0,0,0,0,0,1,0,0,1,0
手绘的华丽的灯笼,"('灯笼',)",0,0,0,0,0,0,0,0,0,0
手上拿着闪闪发亮的筷子,"('手', '筷子')",0,1,0,1,0,0,0,0,0,2
树皮斑驳的天然树木，浮世绘,"('树皮', '树木')",0,0,0,0,1,0,0,0,0,0
树皮十分光滑的一棵树，赛博朋克,"('树皮', '树')",0,0,1,0,0,1,0,0,0,0
水面上的逼真的台阶,"('水面', '台阶')",0,0,0,2,0,0,0,0,0,2
松鼠抱着一颗清透的绿宝石，出自吉卜力,"('松鼠', '宝石')",0,1,1,1,1,0,0,0,0,0
唐朝小镇里穿着蓝色盔甲的机器人，超现实主义,"('小镇', '盔甲', '机器人')",0,1,0,1,0,1,0,0,0,0
天堂里两个可爱的小天使，精致细节,"('天堂', '天使')",0,0,1,1,0,0,0,2,0,2
跳跃的熊猫,"('熊猫',)",1,0,0,0,0,0,0,0,0,0
童话故事里精美的鹅卵石街道,"('街道', '鹅卵石')",0,0,0,0,0,0,0,0,0,0
童话里表面平滑的花瓶,"('花瓶', '童话')",0,0,0,0,0,1,0,0,0,0
童话里的半透明的黄色便利贴,"('便利贴',)",0,1,0,0,0,1,0,0,0,0
童话里的欧洲公主在吃香蕉,"('公主', '香蕉')",1,0,0,1,0,1,2,2,1,0
童话里隐匿在树林里的用糖果做的小教堂,"('童话', '树林', '糖果', '教堂')",0,0,0,1,0,1,0,0,0,2
头发凌乱的男人在祈祷，眼神中充满惊恐,"('头发', '男人', '眼神')",1,0,0,0,0,0,0,2,2,0
头发凌乱的年轻女孩，水彩画,"('头发', '女孩')",0,0,0,0,1,0,0,2,1,0
头上戴着王冠的宁静的少年，赛博朋克风格,"('头', '王冠', '少年')",0,0,0,1,0,1,0,2,2,0
图书馆里高大的书架，手绘,"('图书馆', '书架')",0,0,0,1,1,0,0,0,0,0
完美的埃及金字塔，虚幻引擎,"('金字塔',)",0,0,0,0,0,1,0,0,0,0
完美的蝴蝶,"('蝴蝶',)",0,0,0,0,0,0,0,0,0,0
完美的木星，巴洛克风格,"('木星',)",0,0,0,0,0,1,0,0,0,0
王后头上绝美的中国风头饰,"('王后', '头', '头饰')",0,0,0,1,0,1,0,2,1,0
网球场上打扮精致的运动员，出自新海诚,"('网球场', '运动员')",0,0,0,1,1,0,0,2,0,0
唯美的厨房，厨房门外有一个餐桌,"('厨房', '厨房门', '餐桌')",0,0,1,1,0,0,0,0,0,0
唯美的粉色台阶，二次元风格,"('台阶',)",0,1,0,0,0,1,0,0,0,0
唯美的锦鲤，油画,"('锦鲤',)",0,0,0,0,1,0,0,0,0,0
唯美的卷发少女站在车站前,"('少女', '车站', '卷发')",1,0,0,1,0,0,0,2,1,0
未来世界的热气球飞艇,"('未来世界', '热气球飞艇')",0,0,0,0,0,0,0,0,0,0
未来战火中的医院,"('战火', '医院')",0,0,0,1,0,1,0,0,0,0
五官完美且皮肤白皙的少女，油画笔刷质感,"('五官', '皮肤', '少女')",0,1,0,0,1,0,0,2,1,0
细致的摩托车，铅笔画,"('摩托车',)",0,0,0,0,1,0,0,0,0,0
现代城市里一个穿着蓝色体恤衫的游客，未来主义风格,"('城市', '体恤衫', '游客')",0,1,1,1,0,1,0,2,0,0
像素艺术风格，隐藏在草地里的橘子,"('橘子', '草地')",0,0,0,1,1,0,0,0,0,0
写实的螺丝起子，上面有复古花纹,"('螺丝起子', '花纹')",0,0,0,1,1,1,0,0,0,0
新海诚风格的可爱的松鼠,"('松鼠',)",0,0,0,0,1,0,0,0,0,0
星夜里破碎的月亮，超现实刻画,"('月亮', '星夜')",0,0,0,1,1,0,0,0,0,2
雄伟的机器人，巴洛克风格,"('机器人',)",0,0,0,0,0,1,0,0,0,0
岩石上有一朵树叶在缓缓飘落，赛博朋克,"('岩石', '树叶')",1,0,1,1,0,1,0,0,0,0
眼神锐利的将军像远方眺望着，虚幻引擎,"('眼神', '将军')",1,0,0,0,0,0,0,2,0,0
阳光下精美的金属，蒸汽朋克风格,"('阳光', '金属')",0,0,0,1,0,1,0,0,0,0
一把唯美的竖琴，超现实主义,"('竖琴',)",0,0,1,0,0,1,0,0,0,0
一本古朴的打开的魔法书，出自皮克斯,"('魔法书',)",1,0,1,0,1,0,0,0,0,0
一本精致的书，赛博朋克,"('书',)",0,0,1,0,0,1,0,0,0,0
一幅唯美的插画，画的是一支篮球队,"('插画', '篮球队')",0,0,1,0,1,0,0,2,0,0
一副线条分明的咖啡机插画,"('咖啡机', '插画', '线条')",0,0,1,0,0,0,0,0,0,0
一个参天大树，述职上的鸟巢里有几只可爱的小鸟,"('树', '述职', '鸟巢', '鸟')",0,0,1,1,0,0,0,0,0,0
一个穿着背带裤的女孩在画钢笔画,"('裤', '女孩', '画')",1,0,1,1,1,0,2,2,1,0
一个房子的铅笔画,"('房子', '画')",0,0,1,0,1,0,0,0,0,0
一个高分辨率的色彩丰富的塔楼,"('塔楼',)",0,2,1,0,0,0,0,0,0,0
一个会发光的垃圾桶，超现实主义,"('垃圾桶',)",0,1,1,0,0,1,0,0,0,2
一个家族，家族的所有人皮肤都很白皙，超现实主义,"('家族', '人', '皮肤')",0,1,1,0,0,1,0,2,0,0
一个精美的书架，油画风格,"('书架',)",0,0,1,0,1,0,0,0,0,0
一个绝美的房子，上面有两个烟囱,"('房子', '烟囱')",0,0,1,1,0,0,0,0,0,0
一个绝美的年轻女孩，穿着朋克风格的衣服,"('女孩', '衣服')",0,0,1,1,0,1,0,2,1,0
一个可爱的小女孩穿着长裙在跳舞，浮世绘,"('女孩', '长裙')",1,0,1,1,1,0,0,2,1,0
一个美丽的女子在吃麻辣烫,"('女子', '麻辣烫')",1,0,1,0,0,0,2,2,1,0
一个男孩背着降落伞从天上慢慢降落，水彩画,"('男孩', '降落伞', '天')",1,0,1,1,1,0,0,2,2,0
一个男人的头像,"('男人', '头像')",0,0,1,0,0,0,0,2,2,0
一个披头散发的老科学家在进行实验，写实主义,"('科学家', '发')",1,0,1,0,1,0,0,2,0,0
一个平滑的房子,"('房子',)",0,0,1,0,0,0,0,0,0,2
一个青绿色的半透明的碟子,"('碟子',)",0,1,1,0,0,0,0,0,0,0
一个少年边微笑边吃着一碗酸辣粉，插画,"('少年', '酸辣粉')",1,0,1,0,1,0,2,2,2,0
一个生锈的易拉罐，出自皮克斯,"('易拉罐',)",0,0,1,0,1,0,0,0,0,0
一个完美的未来时钟，赛博朋克,"('时钟',)",0,0,1,0,0,1,0,0,0,0
一个雄伟的柯基犬雕塑,"('柯基犬', '雕塑')",0,0,1,0,0,0,0,0,0,0
一个眼神中透着自信的人，中国风,"('眼神', '人')",0,0,1,0,0,1,0,2,0,0
一个在生着闷气的女人，高分辨率,"('女人',)",1,0,1,0,0,0,0,2,1,0
一个装饰十分华丽的茶壶，线条艺术,"('茶壶',)",0,0,1,0,1,0,0,0,0,0
一个装饰图案十分酷炫的篮球，浮世绘,"('图案', '篮球')",0,0,1,0,1,0,0,0,0,0
一根细长的链子，链子的一头绑着锐利的刀片，未来主义,"('链子', '刀片')",0,0,1,1,0,1,0,0,0,0
一颗精美的菠萝，线条艺术,"('菠萝',)",0,0,1,0,1,0,0,0,0,0
一名面色红润的年轻女孩，未来主义风格,"('女孩',)",0,1,1,0,0,1,0,2,1,0
一双红色的金属做的袜子，赛博朋克风格,"('袜子',)",0,1,1,0,0,1,0,0,0,2
一双印着粉色爱心的运动鞋，虚幻引擎,"('爱心', '鞋')",0,1,1,0,0,0,0,0,0,0
一台复古的电视机，包豪斯风格,"('电视机',)",0,0,1,0,0,1,0,0,0,0
一台完美的钢琴，日系风格,"('钢琴',)",0,0,1,0,0,1,0,0,0,0
一套打折高光的餐具，上面的花纹清晰可见，巴洛克风格,"('餐具', '花纹')",0,2,1,1,0,1,0,0,0,0
一条充满童话氛围的街道,"('街道',)",0,0,1,0,0,0,0,0,0,0
