prompt,entity,status,color,number,location,paint,culture,hand,face,gender,illogical
a beach with apartment buildings next to it,"('beach', 'apartment')",0,0,1,1,0,0,0,0,0,0
a beat-up truck at the base of the Great Pyramid,"('truck', 'Pyramid')",0,0,1,1,0,0,0,0,0,0
a bench,"('bench',)",0,0,1,0,0,0,0,0,0,0
a bench next to a flower pot,"('bench', 'flower pot')",0,0,1,1,0,0,0,0,0,0
a bench without any cats on it,"('bench', 'cats')",0,0,1,1,0,0,0,0,0,0
a bicycle wheel that is made of red yarn,"('bicycle wheel', 'yarn')",0,1,1,0,0,0,0,0,0,0
A Big Ben clock towering over the city of London,"('Big Ben clock',)",1,0,1,1,0,1,0,0,0,0
a bike rack with some bike locks attached to it but no bicycles,"('bike rack', 'bike locks', 'bicycles')",0,0,1,1,0,0,0,0,0,0
a bird,"('bird',)",0,0,1,0,0,0,0,0,0,0
a bird and its reflection in a fountain,"('bird', 'reflection', 'fountain')",0,0,1,1,0,0,0,0,0,0
A bird gives an apple to a squirrel,"('bird', 'apple', 'squirrel')",1,0,1,0,0,0,0,0,0,2
a bird landing on a bat,"('bird', 'bat')",1,0,1,1,0,0,0,0,0,0
a bird standing on a stick,"('bird', 'stick')",1,0,1,1,0,0,0,0,0,0
a black and orange yin-yang symbol with tiger's heads instead of circles,"('yin-yang symbol', 'tiger', 'heads', 'circles')",0,1,1,0,0,0,0,0,0,0
A black and white landscape photograph of a black tree,"('photograph', 'tree')",0,1,1,0,0,0,0,0,0,0
a black background with a large yellow circle,"('background', 'circle')",0,1,1,0,0,0,0,0,0,0
a black background with a large yellow circle and a small red square,"('background', 'circle', 'square')",0,1,1,0,0,0,0,0,0,0
a black background with a large yellow square,"('background', 'square')",0,1,1,0,0,0,0,0,0,0
a black baseball hat,"('hat',)",0,1,1,0,0,0,0,0,0,0
a black baseball hat with a flame decal on it,"('hat', 'decal')",0,1,1,1,0,0,0,0,0,0
a black dog jumping up to hug a woman wearing a red sweater,"('dog', 'woman', 'sweater')",1,1,1,1,0,0,2,2,1,0
a black dog sitting between a bush and a pair of green pants standing up with nobody inside them,"('dog', 'bush', 'pants')",1,1,1,1,0,0,0,0,0,2
A black dog sitting on a wooden chair. A white cat with black ears is standing up with its paws on the chair.,"('dog', 'chair', 'cat', 'ears', 'paws')",1,1,1,1,0,0,0,0,0,0
A black dragon perched on top of a tall Egyptian obelisk and breathing flames at a knight on the ground,"('dragon', 'obelisk', 'flames', 'knight', 'ground')",1,1,1,1,0,1,0,2,0,2
a black shoe with a lightning bolt on it,"('shoe', 'lightning')",0,1,1,1,0,0,0,0,0,0
a black towel,"('towel',)",0,1,1,0,0,0,0,0,0,0
a black towel with a cartoon of a dog on it,"('cartoon', 'towel', 'dog')",0,1,1,1,1,0,0,0,0,0
a black towel with a dog on it,"('towel', 'dog')",0,1,1,1,0,0,0,0,0,0
a black t-shirt,"('t-shirt',)",0,1,1,0,0,0,0,0,0,0
a black t-shirt with the peace sign on it,"('t-shirt', 'sign')",0,1,1,1,0,0,0,0,0,0
a bloody mary cocktail,"('cocktail',)",0,0,1,0,0,0,0,0,0,0
a bloody mary cocktail next to a napkin,"('cocktail', 'napkin')",0,0,1,1,0,0,0,0,0,0
a blue airplane taxiing on a runway with the sun behind it,"('airplane', 'runway', 'sun')",1,1,1,1,0,0,0,0,0,0
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting,"('cow', 'tree', 'leaves', 'fruit', 'field', 'flowers', 'painting')",1,1,1,1,1,0,0,0,0,0
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting.,"('cow', 'tree', 'leaves', 'fruit', 'field', 'flowers', 'painting')",1,1,1,1,1,0,0,0,0,0
a blue metallic sphere,"('sphere',)",0,1,1,0,0,0,0,0,0,0
a blue pickup truck with a rhinoceros in its flatbed,"('truck', 'rhinoceros', 'flatbed')",0,1,1,1,0,0,0,0,0,0
A blue Porsche 356 parked in front of a yellow brick wall,"('Porsche', 'wall')",0,1,1,1,0,0,0,0,0,0
a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles.,"('semi-truck', 'trailer', 'motorcycles', 'ramps')",1,1,1,1,0,0,0,0,0,2
a blue sports car on the road,"('car', 'road')",0,1,1,1,0,0,0,0,0,0
a blue t-shirt,"('t-shirt',)",0,1,1,0,0,0,0,0,0,0
a blue t-shirt with a dinosaur on it,"('t-shirt', 'dinosaur')",0,1,1,1,0,0,0,0,0,0
a blue wall with a large framed watercolor painting of a mountain,"('wall', 'painting', 'mountain')",0,1,1,0,1,0,0,0,0,0
a blue wooden pyramid on top of a red plastic box,"('pyramid', 'box')",0,1,1,1,0,0,0,0,0,0
a boat,"('boat',)",0,0,1,0,0,0,0,0,0,0
a boat in the canals of venice,"('boat', 'canals')",0,0,1,1,0,1,0,0,0,0
a boat with 'BLUE GROOVE' written on its hull,"('boat', 'hull', 'BLUE GROOVE')",0,0,1,1,0,0,0,0,0,0
a book,"('book',)",0,0,1,0,0,0,0,0,0,0
a book cover,"('book', 'cover')",0,0,1,0,0,0,0,0,0,0
a book with the words 'Don't Panic!' written on it,"('book', ""Don't Panic!"")",0,0,1,1,0,0,0,0,0,0
a bookshelf,"('bookshelf',)",0,0,1,0,0,0,0,0,0,0
a bookshelf with ten books stacked vertically,"('bookshelf', 'books')",0,0,1,1,0,0,0,0,0,0
a bookshelf without any books on it,"('bookshelf', 'books')",0,0,1,1,0,0,0,0,0,0
a bottle,"('bottle',)",0,0,1,0,0,0,0,0,0,0
a bottle of beer next to an ashtray with a half-smoked cigarrette,"('beer', 'ashtray', 'cigarrette')",0,0,1,1,0,0,0,0,0,0
a bottle of light beer with a lemon slice wedged in the rim,"('beer', 'lemon slice')",0,0,1,1,0,0,0,0,0,0
a bottle of red wine,"('wine',)",0,1,1,0,0,0,0,0,0,0
a bowl,"('bowl',)",0,0,1,0,0,0,0,0,0,0
A bowl of Beef Pho,"('Beef Pho', 'bowl')",0,0,1,0,0,0,0,0,0,0
A bowl of Chicken Pho,"('Pho',)",0,0,1,0,0,0,0,0,0,0
A bowl of Pho,"('Pho',)",0,0,1,0,0,0,0,0,0,2
A bowl of Pho served with bean sprouts on top,"('Pho', 'bean')",0,0,1,1,0,0,0,0,0,0
A bowl of soup that looks like a monster knitted out of wool,"('soup', 'monster', 'wool')",0,0,1,0,0,0,0,0,0,2
A bowl of soup that looks like a monster made out of plasticine,"('soup', 'monster', 'plasticine')",0,0,1,0,0,0,0,0,0,2
A bowl of soup that looks like a monster spray-painted on a wall,"('soup', 'monster', 'wall')",0,0,1,0,0,0,0,0,0,2
A bowl of soup that looks like a monster with tofu says deep learning,"('soup', 'monster', 'tofu')",0,0,1,0,0,0,0,0,0,2
a bowl with a cartoon dinosaur on it,"('bowl', 'cartoon dinosaur')",0,0,1,1,0,0,0,0,0,0
a bowl with a dinosaur on it,"('dinosaur', 'bowl')",0,0,1,1,0,0,0,0,0,2
a box,"('box',)",0,0,1,0,0,0,0,0,0,0
a boy,"('boy',)",0,0,1,0,0,0,0,2,2,0
a boy and a tiger,"('boy', 'tiger')",0,0,1,0,0,0,0,2,2,0
a boy going to school,"('boy', 'school')",1,0,1,0,0,0,0,2,2,0
A boy holds and a girl paints a piece of wood.,"('boy', 'girl', 'wood')",1,0,1,1,0,0,2,2,1,0
a boy jumping off a wall,"('boy', 'wall')",1,0,1,1,0,0,0,2,2,0
a boy sitting on the shoulders of a woman who is wearing an elegant dress,"('boy', 'shoulders', 'woman', 'dress')",1,0,1,1,0,0,0,2,1,0
a brown mouse laughing at a gray cat because a 16 ton weight is about to fall on its head,"('mouse', 'cat', 'weight', 'head')",1,1,1,1,0,0,0,0,0,2
a brown trash bin to the left of a blue recycling bin,"('trash bin', 'recycling bin')",0,1,1,1,0,0,0,0,0,0
a brown trash bin with a green compost bin on its left and a blue recycling bin on its right,"('trash bin', 'compost bin', 'recycling bin')",0,1,1,1,0,0,0,0,0,0
a bunch of laptops piled on a sofa,"('laptops', 'sofa')",0,0,1,2,0,0,0,0,0,0
a bundle of blue and yellow flowers in a vase,"('flowers', 'vase')",0,1,1,1,0,0,0,0,0,0
"A burger patty, with the bottom bun and lettuce and tomatoes. ""COFFEE"" written on it in mustard","('burger', 'bun', 'lettuce', 'tomatoes', 'mustard', 'COFFEE')",0,0,1,1,0,0,0,0,0,0
a butterfly,"('butterfly',)",0,0,1,0,0,0,0,0,0,0
a butterfly kite stuck high in a tree,"('kite', 'tree')",0,0,1,1,0,0,0,0,0,0
a can of Spam on an elegant plate,"('Spam', 'plate')",0,0,1,1,0,0,0,0,0,2
a canal,"('canal',)",0,0,1,0,0,0,0,0,0,0
a canal in Amsterdam,"('canal',)",0,0,1,1,0,1,0,0,0,0
a canal in Venice,"('canal',)",0,0,1,1,0,1,0,0,0,0
a capybara,"('capybara',)",0,0,1,0,0,0,0,0,0,0
a capybara made of voxels sitting in a field,"('capybara', 'voxels', 'field')",1,0,1,1,0,0,0,0,0,0
a capybara sitting in a field,"('capybara', 'field')",1,0,1,1,0,0,0,0,0,0
a car,"('car',)",0,0,1,0,0,0,0,0,0,0
a car and a truck on the road next to a traffic light,"('car', 'truck', 'road', 'traffic light')",0,0,1,1,0,0,0,0,0,0
a car with no windows,"('car', 'windows')",0,0,1,0,0,0,0,0,0,2
a car with tires that have yellow rims,"('car', 'tires', 'rims')",0,1,1,0,0,0,0,0,0,0
a cardboard spaceship,"('spaceship',)",0,0,1,0,0,0,0,0,0,0
a car's wheel crushing a pair of headphones,"('wheel', 'headphones')",1,0,1,0,0,0,0,0,0,0
A cartoon house with red roof,"('house', 'roof')",0,1,1,0,1,0,0,0,0,0
a cartoon of a bear birthday party,"('cartoon', 'party')",0,0,1,0,1,0,0,0,0,0
a cartoon of a boy playing with a tiger,"('cartoon', 'boy', 'tiger')",1,0,1,0,1,0,0,2,2,0
a cartoon of a cow jumping over the moon,"('cartoon', 'cow', 'moon')",1,0,1,1,1,0,0,0,0,0
"a cartoon of a dog saying ""I see what you did there""","('cartoon', 'dog', 'I see what you did there')",1,0,1,0,1,0,0,0,0,0
a cartoon of a happy car on the road,"('cartoon', 'car', 'road')",0,0,1,1,1,0,0,0,0,0
a cartoon of a house on a mountain,"('cartoon', 'house', 'mountain')",0,0,1,1,1,0,0,0,0,0
a cartoon of a man standing under a tree,"('cartoon', 'man', 'tree')",1,0,1,1,1,0,0,2,2,0
a cartoon of a train going to the moon,"('moon', 'train')",1,0,1,0,1,0,0,0,0,0
a cartoon of an angry shark,"('cartoon', 'shark')",0,0,1,0,1,0,0,0,0,0
A cartoon tiger face,"('tiger face',)",0,0,1,0,1,0,0,0,0,0
A castle made of cardboard.,"('castle', 'cardboard')",0,0,1,0,0,0,0,0,0,0
"A castle made of tortilla chips, in a river made of salsa. There are tiny burritos walking around the castle","('castle', 'tortilla chips', 'river', 'salsa', 'burritos')",1,0,1,1,0,0,0,0,0,2
a cat,"('cat',)",0,0,1,0,0,0,0,0,0,0
a cat chasing a horse,"('cat', 'horse')",1,0,1,0,0,0,0,0,0,0
a cat coming through a cat door,"('cat', 'door')",1,0,1,1,0,0,0,0,0,0
A cat dreaming about becoming a tiger,"('cat', 'tiger')",1,0,1,0,0,0,0,0,0,2
a cat drinking a pint of beer,"('cat', 'beer')",1,0,1,0,0,0,0,0,0,2
a cat jumping down from a wall,"('cat', 'wall')",1,0,1,1,0,0,0,0,0,0
a cat jumping in the air,"('cat', 'air')",1,0,1,1,0,0,0,0,0,0
a cat jumping in the air to catch a bird,"('cat', 'air', 'bird')",1,0,1,1,0,0,0,0,0,0
a cat jumping in the air to get onto a table,"('cat', 'air', 'table')",1,0,1,1,0,0,0,0,0,0
a cat jumps over a baby gate,"('cat', 'baby gate')",0,0,1,1,0,0,0,0,0,0
a cat licking a large felt ball with a drawing of the Eiffel Tower on it,"('cat', 'felt ball', 'drawing', 'Eiffel Tower')",1,0,1,1,0,0,0,0,0,0
a cat looking out of a window,"('cat', 'window')",1,0,1,0,0,0,0,0,0,0
a cat looking out of a window at a squirrel on a fence,"('cat', 'window', ' squirrel', 'fence')",1,0,1,1,0,0,0,0,0,0
a cat patting a crystal ball with the number 7 written on it in black marker,"('cat', 'crystal ball', 'number 7', 'marker')",0,1,1,1,0,0,0,0,0,0
a cat playing checkers,"('cat', 'checkers')",1,0,1,0,0,0,0,0,0,2
a cat reading a book,"('cat', 'book')",1,0,1,0,0,0,0,0,0,2
a cat reading a comic book,"('cat', 'book')",1,0,1,0,1,0,0,0,0,2
a cat reading a newspaper,"('cat', 'newspaper')",1,0,1,0,0,0,0,0,0,2
a cat sitting in a car seat,"('cat', 'car seat')",1,0,1,1,0,0,0,0,0,0
a cat sitting on a box with a drawing of an elephant on it,"('cat', 'box', 'drawing', 'elephant')",1,0,1,1,0,0,0,0,0,0
a cat sitting on a stairway railing,"('cat', 'stairway railing')",1,0,1,1,0,0,0,0,0,0
a cat standing on a horse,"('cat', 'horse')",1,0,1,1,0,0,0,0,0,0
A cat that has black fur bats a red Christmas ornament that has silver sparkles.,"('cat', 'fur bats', 'ornament', 'sparkles')",0,1,1,0,0,0,0,0,0,0
a cat with four eyes,"('cat', 'eyes')",0,0,1,0,0,0,0,0,0,2
a cat's tail showing under a couch,"(""cat's tail"", 'couch')",1,0,1,1,0,0,0,0,0,0
a ceiling fan,"('ceiling fan',)",0,0,1,0,0,0,0,0,0,0
a ceiling fan with an ornate light fixture,"('ceiling fan', 'light fixture')",0,0,1,0,0,0,0,0,0,0
a ceiling fan with five brown blades,"('ceiling fan', 'blades')",0,1,1,0,0,0,0,0,0,0
a ceiling fan with four white blades,"('blades', 'ceiling fan')",0,1,1,0,0,0,0,0,0,0
a chair,"('chair',)",0,0,1,0,0,0,0,0,0,0
a chemtrail,"('chemtrail',)",0,0,1,0,0,0,0,0,0,0
a chemtrail passing between two clouds,"('chemtrail', 'clouds')",1,0,1,1,0,0,0,0,0,0
a chess queen to the right of a chess knight,"('chess queen', 'chess knight')",0,0,1,1,0,0,0,0,0,0
a chest,"('chest',)",0,0,1,0,0,0,0,0,0,0
a child,"('child',)",0,0,1,0,0,0,0,2,0,0
a child and a penguin sitting on the moon,"('child', 'penguin', 'moon')",1,0,1,1,0,0,0,2,0,2
a child eating a birthday cake near some palm trees,"('child', 'cake', 'trees')",1,0,1,1,0,0,2,2,0,0
a child in the air while jumping on a trampoline,"('child', 'air', 'trampoline')",1,0,1,1,0,0,0,2,0,0
a child unraveling a roll of toilet paper,"('child', 'toilet paper')",1,0,1,0,0,0,2,2,0,0
a chimpanzee,"('chimpanzee',)",0,0,1,0,0,0,0,0,0,0
a chimpanzee sitting on a wooden bench,"('chimpanzee', 'bench')",1,0,1,1,0,0,0,0,0,0
a chimpanzee wearing a bowtie and playing a piano,"('chimpanzee', 'bowtie', 'piano')",1,0,1,1,0,0,0,0,0,2
a chopper decorated with the Stars and Stripes,"('chopper', 'Stars', 'Stripes')",0,0,1,0,0,0,0,0,0,0
a Christmas tree,"('Christmas tree',)",0,0,1,0,0,0,0,0,0,0
a Christmas tree on a toy train,"('Christmas tree', 'toy train')",0,0,1,1,0,0,0,0,0,0
a circle,"('circle',)",0,0,1,0,0,0,0,0,0,0
a circular brown trash bin in front of a brick wall,"('trash bin', 'wall')",0,1,1,1,0,0,0,0,0,0
a circular logo,"('logo',)",0,0,1,0,0,0,0,0,0,0
a circular logo on a coffee mug,"('logo', 'mug')",0,0,1,1,0,0,0,0,0,0
a city,"('city',)",0,0,1,0,0,0,0,0,0,0
A city in 4-dimensional space-time,"('city',)",0,0,1,0,0,0,0,0,0,0
a city intersection,"('intersection',)",0,0,1,0,0,0,0,0,0,0
a city intersection without cars,"('intersection', 'city', 'cars')",0,0,1,0,0,0,0,0,0,0
a cityscape at night with a full moon,"('cityscape', 'moon')",0,0,1,0,0,0,0,0,0,0
a classroom without any students,"('classroom', 'students')",0,0,1,0,0,0,0,0,0,0
a clock,"('clock',)",0,0,1,0,0,0,0,0,0,0
a clock tower,"('clock tower',)",0,0,1,0,0,0,0,0,0,0
a clock with no hands,"('clock', 'hands')",0,0,1,0,0,0,0,0,0,2
a close up of a handpalm with leaves growing from it,"('close up', 'handpalm', 'leaves')",1,0,1,1,0,0,0,0,0,2
"A close-up high-contrast photo of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blue","('photo', 'Opera House', 'Eiffel tower', 'night sky', 'energy', 'stars', 'swirls')",1,1,1,1,0,1,0,0,0,2
a close-up of a bloody mary cocktail,"('close-up', 'cocktail')",0,0,1,0,0,0,0,0,0,0
a close-up of a blue dragonfly on a daffodil,"('close-up', 'dragonfly', 'daffodil')",0,1,1,1,0,0,0,0,0,0
a close-up of a long-island ice tea cocktail,"('close-up', 'cocktail')",0,0,1,0,0,0,0,0,0,0
a close-up of a margarita,"('close-up', 'margarita')",0,0,1,0,0,0,0,0,0,0
a close-up of an old-fashioned cocktail,"('close-up', 'cocktail')",0,0,1,0,0,1,0,0,0,0
a close-up of an ostrich's face,"('close-up', ""ostrich's face"")",0,0,1,0,0,0,0,0,0,0
a close-up of the eye of the planet Jupiter,"('close-up', 'eye', 'Jupiter')",0,0,1,0,0,0,0,0,0,0
a close-up of the eyes of an owl,"('close-up', 'eyes', 'owl')",0,0,1,0,0,0,0,0,0,0
a close-up of the keys of a piano,"('close-up', 'keys', 'piano')",0,0,1,0,0,0,0,0,0,0
"A close-up of two beetles wearing karate uniforms and fighting, jumping over a waterfall.","('close-up', 'beetles', 'uniforms', 'waterfall')",1,0,1,1,0,0,0,0,0,2
"A close-up of two chameleons wearing karate uniforms and fighting, jumping over a waterfall.","('chameleons', 'uniforms', 'waterfall', 'close-up')",1,0,1,1,0,0,0,0,0,2
"A close-up of two mantis wearing karate uniforms and fighting, jumping over a waterfall.","('close-up', 'mantis', 'uniforms', 'waterfall')",1,0,1,1,0,0,0,0,0,2
A close-up photo of a wombat wearing a red backpack and raising both arms in the air. Mount Rushmore is in the background.,"('photo', 'wombat', 'backpack', 'arms', 'air', 'Mount Rushmore', 'background')",1,1,1,1,0,0,0,0,0,2
a cloud in the shape of a castle,"('cloud', 'castle')",0,0,1,0,0,0,0,0,0,0
a cloud in the shape of a elephant,"('elephant', 'cloud')",0,0,1,0,0,0,0,0,0,0
a cloud in the shape of a teacup,"('cloud', 'teacup')",0,0,1,0,0,0,0,0,0,0
a cocktail,"('cocktail',)",0,0,1,0,0,0,0,0,0,0
a coffee maker,"('coffee maker',)",0,0,1,0,0,0,0,0,0,0
a coffee mug,"('mug',)",0,0,1,0,0,0,0,0,0,0
a coffee mug floating in the sky,"('mug', 'sky')",1,0,1,1,0,0,0,0,0,2
a coffee mug with an ankh symbol on it,"('mug', 'symbol')",0,0,1,1,0,0,0,0,0,0
a coffee table,"('table',)",0,0,1,0,0,0,0,0,0,0
a coffee table with a magazine on it,"('table', 'magazine')",0,0,1,1,0,0,0,0,0,0
a collection of glasses,"('glasses',)",0,0,1,0,0,0,0,0,0,0
a collection of glasses is sitting on a table,"('glasses', 'table')",1,0,1,1,0,0,0,0,0,0
a coloring book page of a horse next to a stream,"('page', 'horse', 'stream')",0,0,1,1,0,0,0,0,0,0
a comic about a boy and a tiger,"('comic', 'boy', 'tiger')",0,0,1,0,1,0,0,2,2,0
a comic about a boy going to school,"('comic', 'boy', 'school')",1,0,1,0,1,0,0,2,2,0
a comic about a family on a road trip,"('comic', 'family', 'road')",0,0,1,1,1,0,0,2,0,0
a comic about a father and a son playing tennis,"('comic', 'father', 'son', 'tennis')",1,0,1,0,1,0,2,2,2,0
a comic about a friendly car in the city,"('comic', 'car', 'city')",0,0,1,1,1,0,0,0,0,0
a comic about a girl going to a farm,"('comic', 'girl', 'farm')",1,0,1,0,1,0,0,2,1,0
a comic about an owl family in the forest,"('comic', 'owl', 'forest')",0,0,1,1,1,0,0,0,0,0
a comic about two cats doing research,"('comic', 'cats')",1,0,1,0,1,0,0,0,0,0
a comic book supervillian,"('supervillian', 'book')",0,0,1,0,1,0,0,2,0,0
a compass next to a piece of fruit,"('compass', 'fruit')",0,0,1,1,0,0,0,0,0,0
a concert without any fans,"('concert', 'fans')",0,0,1,0,0,0,0,0,0,0
a corgi,"('corgi',)",0,0,1,0,0,0,0,0,0,0
a corgi wearing a red bowtie and a purple party hat,"('corgi', 'bowtie', 'hat')",1,1,1,1,0,0,0,0,0,0
a corgi��s head,"('corgi��s head',)",0,0,1,0,0,0,0,0,0,0
a corgi��s head depicted as an explosion of a nebula,"('corgi��s head', 'nebula')",0,0,1,0,0,0,0,0,0,2
a cow,"('cow',)",0,0,1,0,0,0,0,0,0,0
a cow eating a green leafy plant,"('cow', 'plant')",1,1,1,0,0,0,0,0,0,0
a cow jumping over the moon,"('cow', 'moon')",1,0,1,0,0,0,0,0,0,2
A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,"('living room', 'painting', 'corgi', 'wall', 'couch', 'table', 'flowers')",0,0,1,1,0,0,0,0,0,0
a crayon drawing of a space elevator,"('drawing', 'elevator')",0,0,1,0,1,0,0,0,0,0
a cream colored labradoodle next to a white cat with black-tipped ears,"('labradoodle', 'cat', 'ears')",0,1,1,1,0,0,0,0,0,0
a cream-colored labradoodle wearing glasses and black beret teaching calculus at a blackboard,"('labradoodle', 'glasses', 'beret', 'calculus', 'blackboard')",1,1,1,1,0,0,0,0,0,2
a crescent moon viewed between tree branches at night,"('moon', ' tree branches')",0,0,1,1,0,0,0,0,0,0
a cricket team walking on to the pitch,"('cricket team', 'pitch')",1,0,1,1,0,0,0,2,0,0
a cricketer standing next to a wicket,"('cricketer', 'wicket')",1,0,1,1,0,0,0,2,0,0
a cross-section view of a walnut,"('a cross-section view of a walnut', 'walnut')",0,0,1,0,0,0,0,0,0,0
a crowd of people watching fireworks,"('people', 'fireworks')",1,0,1,0,0,0,0,0,0,0
a crowd of people watching fireworks by a city,"('people', 'fireworks', 'city')",1,0,1,1,0,0,0,2,0,0
a crowd of people watching fireworks by a park,"('people', 'fireworks', 'park')",1,0,1,1,0,0,0,2,0,0
a crown,"('crown',)",0,0,1,0,0,0,0,0,0,0
a crown with a ruby in its center,"('crown', 'ruby')",0,0,1,1,0,0,0,0,0,0
a cube made of porcupine,"('cube', 'porcupine')",0,0,1,0,0,0,0,0,0,2
a cup of boba,"('boba',)",0,0,1,0,0,0,0,0,0,0
a cute illustration of a horned owl with a graduation cap and diploma,"('illustration', 'owl', 'graduation cap', 'diploma')",0,0,1,1,1,0,0,0,0,0
a cute wooden owl statue holding a large globe of the Earth above its head,"('owl', 'statue', 'Earth', 'head')",1,0,1,1,0,0,0,0,0,0
a diagram of a suburban house,"('diagram', 'house')",0,0,1,0,0,0,0,0,0,0
a diagram of brain function,"('diagram', 'brain')",0,0,1,0,0,0,0,0,0,0
a diagram of how the geyser Old Faithful works,"('diagram', 'geyser Old Faithful')",0,0,1,0,0,0,0,0,0,0
a diagram of the Great Wall,"('diagram', 'Great Wall')",0,0,1,0,0,0,0,0,0,0
a diagram of the human digestive system,"('diagram', 'digestive system')",0,0,1,0,0,0,0,0,0,0
a diagram of the inside of the Great Pyramid,"('diagram', 'Pyramid', 'inside')",0,0,1,0,0,0,0,0,0,0
a diagram of the solar system,"('diagram', 'solar system')",0,0,1,0,0,0,0,0,0,0
a diagram of the star constellations,"('diagram', 'constellations')",0,0,1,0,0,0,0,0,0,0
"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands next to a tall stack of books in a library.","('beaver', 'glasses', 'vest', 'tie', 'books', 'library')",1,2,1,1,0,0,0,0,0,2
a Diplodocus,"('Diplodocus',)",0,0,1,0,0,0,0,0,0,0
a Diplodocus standing in a lake,"('Diplodocus', 'lake')",1,0,1,1,0,0,0,0,0,0
a diplodocus standing in front of the Millennium Wheel,"('diplodocus', 'Millennium Wheel')",1,0,1,1,0,0,0,0,0,0
A dog gives an apple to a squirrel,"('dog', 'apple', 'squirrel')",1,0,1,0,0,0,0,0,0,2
a dog wearing a baseball cap backwards and writing BONEZ on a chalkboard,"('dog', 'cap', 'chalkboard', 'BONEZ')",1,0,1,1,0,0,0,0,0,2
a dolphin,"('dolphin',)",0,0,1,0,0,0,0,0,0,0
a dolphin in an astronaut suit,"('dolphin', 'astronaut suit')",0,0,1,1,0,0,0,0,0,2
a dolphin in an astronaut suit on saturn,"('dolphin', 'astronaut suit', 'saturn')",0,0,1,1,0,0,0,0,0,2
"a dolphin in an astronaut suit on saturn, high-contrast painting","('dolphin', 'astronaut suit', 'saturn', 'painting')",0,0,1,1,1,0,0,0,0,0
a dolphin jumping over a rowboat,"('dolphin', 'rowboat')",1,0,1,1,0,0,0,0,0,0
A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,"('donkey', 'octopus', 'rope', 'mouth', 'cat')",1,0,1,1,0,0,0,0,0,2
a doorknocker,"('doorknocker',)",0,0,1,0,0,0,0,0,0,0
a doorknocker shaped like a lion's head,"('doorknocker', ""lion's head"")",0,0,1,0,0,0,0,0,0,0
a dragon,"('dragon',)",0,0,1,0,0,0,0,0,0,2
